fiscal_year,month,month_numeric,data_from_table,reits_public_issues_number_of_issues,reits_public_issues_amount_cr,invits_public_issues_number_of_issues,invits_public_issues_amount_cr,invits_private_placement_number_of_issues,invits_private_placement_amount_cr,total_no_of_issues,total_amount_cr,released_on,updated_on,data_source,data_url
2019-20,August,8,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,September,9,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,October,10,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,November,11,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,December,12,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,January,1,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,February,2,Table 11: Fund raising by REITs and InvITs,,,,,2,5952,2,5952,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,March,3,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,April,4,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,May,5,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,June,6,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,July,7,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,August,8,Table 11: Fund raising by REITs and InvITs,1,4500,,,1,25215,2,29715,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,September,9,Table 11: Fund raising by REITs and InvITs,,,,,1,14706,1,14706,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,October,10,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,November,11,Table 11: Fund raising by REITs and InvITs,,,,,1,510,1,510,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,December,12,Table 11: Fund raising by REITs and InvITs,1,3685.2,,,,,1,3685.2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,January,1,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,February,2,Table 11: Fund raising by REITs and InvITs,1,3800,,,,,1,3800,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 11: Fund raising by REITs and InvITs,,,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,April,4,Table 11: Fund raising by REITs and InvITs,,,1,1283.64,,,1,1283.64,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,May,5,Table 11: Fund raising by REITs and InvITs,,,1,7734.99,,,1,7734.99,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
