fiscal_year,month,month_numeric,data_from_table,only_nse_no_of_issues,only_nse_amount_cr,only_bse_no_of_issues,only_bse_amount_cr,both_nse_and_bse_no_of_issues,both_nse_and_bse_amount_cr,total_no_of_issues,total_amount_cr,released_on,updated_on,data_source,data_url
2014-15,March,3,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,6,2170.73,0,0,6,2170.73,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,April,4,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,4,1031.69,4,1031.69,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,May,5,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,1,400,2,325.58,3,725.5799999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,June,6,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,1507.48,2,1507.48,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,July,7,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,1,62.065,4,4761.687159,5,4823.752159,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,August,8,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,231.09,2,231.09,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,September,9,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,4338,2,4338,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,October,10,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,November,11,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,409.28,1,409.28,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,December,12,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,1287.6616394,3,1287.6616394,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,January,1,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,83.31,1,83.31,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,February,2,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,149.97,1,149.97,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,March,3,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,April,4,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,May,5,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,1,261.94181904,1,261.94181904,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,June,6,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,1,60.91175954000001,1,60.91175954000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,July,7,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,1,55.67653,1,55.67653,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,August,8,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,2,229.99924049999998,2,229.99924049999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,September,9,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,4,2209.7237179559997,4,2209.7237179559997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,October,10,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,3,1499.99988636,3,1499.99988636,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,November,11,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,December,12,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,2,76.14,2,76.14,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,January,1,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,2,269.666932,2,269.666932,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,February,2,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,1,172.8,1,172.8,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,March,3,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,3,3627.492212097,3,3627.492212097,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,April,4,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,5206.6468875,2,5206.6468875,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,May,5,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,5,7298.04,5,7298.04,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,June,6,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,15000,1,15000,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
