fiscal_year,month,month_numeric,data_from_table,open_offers_objectives_change_in_control_of_management_no,open_offers_objectives_change_in_control_of_management_amount_cr,open_offers_objectives_consolidation_of_holdings_no,open_offers_objectives_consolidation_of_holdings_amount_cr,open_offers_objectives_substantial_acquisition_no,open_offers_objectives_substantial_acquisition_amount_cr,open_offers_objectives_total_no,open_offers_objectives_total_amount_cr,released_on,updated_on,data_source,data_url
2016-17,July,7,Table 15: Substantial Acquisition of Shares and Takeovers,5,44.41,0,0,1,14.56,6,58.97,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,August,8,Table 15: Substantial Acquisition of Shares and Takeovers,2,4207.9,1,123.6,0,0,3,4331.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,September,9,Table 15: Substantial Acquisition of Shares and Takeovers,5,419.1,1,13.01,1,344.63,7,776.74,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,October,10,Table 15: Substantial Acquisition of Shares and Takeovers,1,2.3,1,58.19,0,0,2,60.489999999999995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,November,11,Table 15: Substantial Acquisition of Shares and Takeovers,1,0.72,1,4.43,0,0,2,5.1499999999999995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,December,12,Table 15: Substantial Acquisition of Shares and Takeovers,5,236.01999999999998,1,2.67,0,0,6,238.68999999999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,January,1,Table 15: Substantial Acquisition of Shares and Takeovers,4,230.48,0,0,0,0,4,230.48,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,February,2,Table 15: Substantial Acquisition of Shares and Takeovers,4,20.37,0,0,1,6.44,5,26.810000000000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,March,3,Table 15: Substantial Acquisition of Shares and Takeovers,3,23.919999999999998,1,17.22,0,0,4,41.14,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,April,4,Table 15: Substantial Acquisition of Shares and Takeovers,6,26.6,0,0,0,0,6,26.6,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,May,5,Table 15: Substantial Acquisition of Shares and Takeovers,4,561.61,0,0,0,0,4,561.61,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,June,6,Table 15: Substantial Acquisition of Shares and Takeovers,7,508.34999999999997,1,2.9,0,0,8,511.24999999999994,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,July,7,Table 15: Substantial Acquisition of Shares and Takeovers,3,6.32,0,0,1,2.24,4,8.56,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,August,8,Table 15: Substantial Acquisition of Shares and Takeovers,2,9.2,0,0,0,0,2,9.2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,September,9,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,3,124.46999999999998,3,124.46999999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,October,10,Table 15: Substantial Acquisition of Shares and Takeovers,2,6.33,1,32.77,2,14.860000000000001,5,53.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,November,11,Table 15: Substantial Acquisition of Shares and Takeovers,5,357.94,0,0,1,80.11,6,438.05,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,December,12,Table 15: Substantial Acquisition of Shares and Takeovers,3,10.29,1,2.5,0,0,4,12.79,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,January,1,Table 15: Substantial Acquisition of Shares and Takeovers,2,3.33,0,0,0,0,2,3.33,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,February,2,Table 15: Substantial Acquisition of Shares and Takeovers,2,10.22,0,0,0,0,2,10.22,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,March,3,Table 15: Substantial Acquisition of Shares and Takeovers,4,9.18,0,0,0,0,4,9.18,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,April,4,Table 15: Substantial Acquisition of Shares and Takeovers,14,873.46,1,7.09,1,934.56,16,1815.1100000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,May,5,Table 15: Substantial Acquisition of Shares and Takeovers,7,460.71,0,0,1,2.78,8,463.48999999999995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,June,6,Table 15: Substantial Acquisition of Shares and Takeovers,7,32.41,2,927.24,0,0,9,959.65,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,July,7,Table 15: Substantial Acquisition of Shares and Takeovers,6,12.2,1,3702,0,0,7,3714.2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,August,8,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,1,2.23,1,2.23,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,September,9,Table 15: Substantial Acquisition of Shares and Takeovers,3,1318.86,0,0,0,0,3,1318.86,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
