fiscal_year,month,month_numeric,data_from_table,bse_advances,bse_declines,bse_advance_decline_ratio,nse_advances,nse_declines,nse_advance_decline_ratio,msei_advances,msei_declines,msei_advance_decline_ratio,released_on,updated_on,data_source,data_url
2021-22,June,6,Table 25: Advances/Declines in Equity Cash Segment,2362,912,2.59,1663,171,9.73,0,1,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,July,7,Table 25: Advances/Declines in Equity Cash Segment,2667,1051,2.537583254,1457,580,2.51,2,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,August,8,Table 25: Advances/Declines in Equity Cash Segment,1661,2047,0.811431363,833,1224,0.68,1,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 25: Advances/Declines in Equity Cash Segment,1713,1984,0.863407258,1078,988,1.09,1,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 25: Advances/Declines in Equity Cash Segment,2320,1395,1.663082437,1645,233,7.06,0,3,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 25: Advances/Declines in Equity Cash Segment,1631,2090,0.7803827751196172,851,1238,0.69,0,2,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,December,12,Table 25: Advances/Declines in Equity Cash Segment,2029,1727,1.1748697162709902,836,1183,0.71,2,1,2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 25: Advances/Declines in Equity Cash Segment,3094,687,4.503639010189229,506,1651,0.31,1,1,1,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 25: Advances/Declines in Equity Cash Segment,1082,2700,0.40074074074074073,1621,545,2.97,2,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,March,3,Table 25: Advances/Declines in Equity Cash Segment,1031,2726,0.37820983125458546,1530,643,2.38,0,4,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 25: Advances/Declines in Equity Cash Segment,2808,967,2.903826267,1766,411,4.3,1,1,1,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 25: Advances/Declines in Equity Cash Segment,711,3046,0.23342088,262,1929,0.14,2,1,2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,June,6,Table 25: Advances/Declines in Equity Cash Segment,1003,2756,0.363933236574746,519,1686,0.31,0,1,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,July,7,Table 25: Advances/Declines in Equity Cash Segment,2074,1673,1.239689181,1417,784,1.81,1,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,August,8,Table 25: Advances/Declines in Equity Cash Segment,2558,1232,2.076298701,1695,536,3.16,1,1,1,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,September,9,Table 25: Advances/Declines in Equity Cash Segment,2573,1243,2.069991955,1521,737,2.06,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,October,10,Table 25: Advances/Declines in Equity Cash Segment,1413,2412,0.585820896,762,1531,0.5,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
