fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,reit_amount_inr_crore,invit_amount_inr_crore
2022-23,2022,December,12,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-12-01,0,59.17
2022-23,2023,January,1,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-01-01,0,58.55
2022-23,2023,February,2,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-02-01,28.85,21.06
2022-23,2023,March,3,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-03-01,0,50.63
2023-24,2023,April,4,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-04-01,0,43.9
2023-24,2023,May,5,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-05-01,0,29.27
2023-24,2023,June,6,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-06-01,0,10.57
2023-24,2023,July,7,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-07-01,0,12.36
2023-24,2023,August,8,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-08-01,55.99,83.51
2023-24,2023,September,9,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-09-01,83.23,86.27
2023-24,2023,October,10,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-10-01,84.83,86
2023-24,2023,November,11,Table 65 Mutual Funds Investment into REITs and InvITs (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-11-01,90.61,84.91
