year,scheme_category,no_of_schemes_as_on_march,funds_mobilised_for_the_period_april_to_march_inr_crore,repurchase_redemption_for_the_period_april_to_march_inr_crore,net_inflow_outflow_for_the_period_april_to_march_inr_crore,net_asset_under_management_as_on_march_inr_crore,released_on,updated_on,data_source,data_url
2022,Flexi Cap,31,72967.7110905664,37090.827973695,35876.883116871395,225430.26889062874,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Conservative Hybrid Fund,18,5137.30027983191,6105.5334475727395,-968.2331677408301,28124.493891828406,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Conservative Hybrid Fund,20,4061.05,3720.55,340.5,26171.27,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Conservative Hybrid Fund,20,5893.45142935,4682.48065894,1210.97077041,23170.17931103,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Conservative Hybrid Fund,21,9589.883614231218,4959.687071089287,4630.196543141931,21073.643160429823,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,32654.59348330832,27664.17588082125,4990.41760248707,219203.85906418925,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,20361.69,21698.85,-1337.16,188522.35,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Balanced Hybrid Fund/Aggressive Hybrid Fund,31,27905.74235882,22180.43567333,5725.30668549,153898.71129614,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,31896.637188260123,28474.407153770164,3422.2300344899604,148518.68826714245,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Dynamic Asset Allocation/Balanced Advantage,35,60169.4679732732,41610.863206009344,18558.604767263852,283673.41076929565,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
