fiscal_year,month,month_numeric,data_from_table,investment_grade_highest_safety_aaa_no,investment_grade_highest_safety_aaa_amount_cr,investment_grade_high_safety_aa_no,investment_grade_high_safety_aa_amount_cr,investment_grade_adequate_safety_a_no,investment_grade_adequate_safety_a_amount_cr,investment_grade_moderate_safety_bbb_no,investment_grade_moderate_safety_bbb_amount_cr,non_investment_grade_no,non_investment_grade_amount_cr,total_no,total_amount_cr,released_on,updated_on,data_source,data_url
2020-21,February,2,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),22,164294,34,24347.25,15,1759.28,12,437.5276,5,2137,88,192975.06,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),33,638761.81,55,26285.85,45,5488.99,41,8230.38,10,2397,184,681164.03,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,April,4,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),34,436835.25,25,10999.2,10,640.14,23,11782.4,6,845,98,461101.99000000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,May,5,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),26,241754.51,23,18940.1,11,1829.7,10,328.75,1,55,71,262908.06,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,June,6,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),20,44029.31,27,41471.21,30,3914.36,22,1360.21,5,757.2,104,91532.29,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,July,7,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),18,37442.42,35,25272.33,29,4524.03,23,3361.47,4,468,109,71068.25,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,August,8,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),20,68596.03,35,49052.31,22,2887.87,26,3066.45,6,549.219,109,124151.87899999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),31,65914.71,41,37436.83,39,8966.08,19,3546.54,5,1959.35,135,117823.51000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),16,17016.09,12,12685,11,1140.38,19,826,8,825.92,66,32493.39,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 13: Ratings Assigned to Corporate Debt Securities (Maturity ≥ 1 year),14,169658.8,14,14147,18,3567.61,15,1593.12,6,453.89,67,189420.41999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
