fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,equity_gross_purchase_inr_crore,equity_gross_sales_inr_crore,equity_net_purchase_sales_inr_crore,debt_gross_purchase_inr_crore,debt_gross_sales_inr_crore,debt_net_purchase_sales_inr_crore,total_gross_purchase_inr_crore,total_gross_sales_inr_crore,total_net_purchase_sales_inr_crore
2014-15,2015,January,1,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-01-01,19290.8,18411.3,879.5,123698.5,90574.5,33124.4,142989.3,108985.8,34003.9
2014-15,2015,February,2,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-02-01,21207.7,16898.8,4309.2,132448.1,68869.6,63578.3,153655.80000000002,85768.40000000001,67887.5
2014-15,2015,March,3,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-03-01,21788.7,17848.2,3940.3,171632.6,94333.1,77299.8,193421.30000000002,112181.3,81240.1
2015-16,2015,April,4,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-04-14,24367.4,15123.1,9243.9,141786.8,119137.4,22649.6,166154.19999999998,134260.5,31893.5
2015-16,2015,May,5,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-05-14,21700.5,17524.2,4176.7,104974.4,87585.8,17388.8,126674.9,105110,21565.5
2015-16,2015,June,6,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-06-14,25608,15282.5,10325.5,146832.1,92177.4,54654.9,172440.1,107459.9,64980.4
2015-16,2015,July,7,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-07-14,23107.6,17665.7,5442.1,106551.6,77058.2,29493.6,129659.20000000001,94723.9,34935.7
2015-16,2015,August,8,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-08-14,28255.9,17723,10533,118362,94099.9,24262.1,146617.9,111822.9,34795.1
2015-16,2015,September,9,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-09-14,23398.3,14078.3,9320.2,114333.4,97698.9,16634.3,137731.69999999998,111777.2,25954.5
2015-16,2015,October,10,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-10-14,21691.1,18756,2935.4,93852.4,68841.6,25011.2,115543.5,87597.6,27946.600000000002
2015-16,2015,November,11,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-11-14,21313.8,14765.9,6547.7,94767.9,63929.4,30838.9,116081.7,78695.3,37386.6
2015-16,2015,December,12,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-12-14,22096.7,17552.6,4544.100000000002,148009.2,108846.5,39162.70000000001,170105.90000000002,126399.1,43706.80000000002
2015-16,2016,January,1,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-01-14,26366.5,19038.7,7327.799999999999,93376.9,88209.3,5167.599999999991,119743.4,107248,12495.39999999999
2015-16,2016,February,2,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-02-14,24249.4,18303.6,5946,116973.2,88287.7,28685.8,141222.6,106591.29999999999,34631.8
2015-16,2016,March,3,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-03-14,19179,29377.3,-10198.1,217856.2,135513.9,82342.4,237035.2,164891.19999999998,72144.29999999999
