fiscal_year,data_from_table,released_on,updated_on,data_source,data_url,mutual_fund_name,net_resource_mobilisation_inr_crore
2016-17,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,SBI Mutual Fund,40079.77683701734
2017-18,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,SBI Mutual Fund,39016.893518294375
2018 - 19,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,SBI Mutual Fund,52324.31
2019-20,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,SBI Mutual Fund,74104.0890685918
2020-21,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,SBI Mutual Fund,63391.80541238
2021-22,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,SBI Mutual Fund,81917.10657807013
2022-23,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,SBI Mutual Fund,41869.96953783567
2023-24,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,SBI Mutual Fund,34876.03081106189
2024-25,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,SBI Mutual Fund,73531.27640564048
2013-14,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Shriram Mutual Fund,23.45
