fiscal_year,month,month_numeric,data_from_table,total_no_of_issues,total_amount_cr,northern_no_of_issues,northern_amount_cr,eastern_no_of_issues,eastern_amount_cr,western_no_of_issues,western_amount_cr,southern_no_of_issues,southern_amount_cr,central_no_of_issues,central_amount_cr,foreign_no_of_issues,foreign_amount_cr,released_on,updated_on,data_source,data_url
2015-16,December,12,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),5,2049.1238274,1,631.91,,,3,1372.03,,,1,45.1838274,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,January,1,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),3,626.0160000000001,1,8.676,,,,,2,617.34,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,February,2,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),11,1473.6799985,2,20.69,,,7,1444.4099985,1,3.78,1,4.8,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,March,3,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),5,682.49,,,,,4,32.849999999999994,1,649.64,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,April,4,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),12,2934.499993,2,8.32,,,9,749.499993,1,2176.68,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,May,5,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),9,2569.4399283000002,1,882.4957890000001,,,8,1686.9441393,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,June,6,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),4,124.75507662499999,,,,,3,49.76,1,74.995076625,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,July,7,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),9,2712.45,1,6.21,,,5,2295,2,403.58,1,7.66,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,August,8,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),5,2529.0008000000003,,,,,3,1635.9008000000001,1,239.12,1,653.98,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,September,9,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),14,7205.2087272,1,130.41,2,16.34,10,7054.2587272,1,4.2,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,October,10,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),21,1697.4786052000002,4,376.39999739999996,2,14.149999999999999,14,1288.4986078000002,1,18.43,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,November,11,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),3,4125.436,2,4112.5,,,,,,,1,12.936,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,December,12,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),7,2538.929594,2,515.76,,,2,23.7131,3,1999.4564940000002,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,January,1,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),4,50.108000000000004,,,,,4,50.108000000000004,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,February,2,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),7,1398.46509285,1,4.08,1,49.7538456,4,1294.632,1,49.99924725,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,March,3,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),23,4597.5969547,2,242.202,,,17,2582.9022084000003,3,1761.5827463,1,10.91,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,April,4,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),16,721.948735,1,10.23,1,9.8,12,206.92542,2,494.99331500000005,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,May,5,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),13,2654.7131236,4,2023.682194,,,8,594.2509296,,,1,36.78,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,June,6,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),7,3087.4325323999997,,,,,5,2305.6713,1,776.6882324,1,5.073,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,July,7,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),15,2637.9033174,3,57.7058112,,,11,2460.4837002,1,119.713806,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,August,8,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),14,2550.2119060000005,1,15.128,1,779.58,7,88.9432,3,1652.892706,2,13.668,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,September,9,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),18,8083.082115699999,3,616.048855,2,619.9,9,6164.9570607,2,649.73,2,32.4462,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,October,10,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),36,23129.2583538,4,1061.4324849999998,,,22,21408.8262688,4,56.96000000000001,6,602.0396,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,November,11,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),14,23715.031683,1,13.87,2,546.9769249999999,10,22262.574790399998,1,891.6099676,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,December,12,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),20,2002.0843701000003,2,503.3044053,1,9.02,17,1489.7599648000005,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,January,1,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),14,2140.0799346,3,1030.778,,,7,153.4904614,4,955.8114731999999,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,February,2,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),21,2184.5640995,4,73.71919249999999,,,13,1090.8767520000001,3,999.253755,1,20.7144,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,March,3,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),24,26858.64179285,7,2119.329992,2,4480.7465250000005,12,15172.636275850002,2,5065.92,1,20.009,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,April,4,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),27,5977.660193,6,1625.1276208,,,15,3773.7005721999994,4,477.542,2,101.28999999999999,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,May,5,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),15,2206.3221664,6,208.53938,,,8,1987.8695864,,,1,9.9132,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,June,6,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),13,176.52784000000003,,,,,11,155.34224000000003,,,2,21.1856,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,July,7,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),15,4736.7830856,4,1608.8887208,1,60,9,2645.6273212,1,422.2670436,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,August,8,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),8,4432.5475774999995,2,463.44370069999997,,,5,2837.9162499999998,1,1131.1876268,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,September,9,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),13,697.7177,3,488.472,,,9,158.17070000000004,1,51.075,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,October,10,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),25,2332.5135963,4,17.3704,4,387.07199999999995,16,1908.0803962999998,1,19.9908,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,November,11,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),0,0,,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
