fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,total_value_pns_equity_debt_including_derivatives_crore,total_value_pns_equity_debt_excluding_derivatives_crore,assets_under_custody_fpis_deemed_fpis_crore,pns_including_derivatives_pct_of_assets_under_custody,pns_excluding_derivatives_pct_of_assets_under_custody
2014-15,2014,August,8,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-08-01,211499,161682,2047175,10.3,7.9
2014-15,2014,September,9,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-09-01,222394,168322,2084161,10.7,8.1
2014-15,2014,October,10,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-10-01,265675,186496,2171276,12.2,8.6
2014-15,2014,November,11,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-11-01,249210,187039,2267910,11,8.2
2014-15,2014,December,12,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2014-12-01,236677,190595,2245157,10.5,8.5
2014-15,2015,January,1,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-01-01,268033,208783,2402441,11.2,8.7
2014-15,2015,February,2,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-02-01,271752,208447,2456321,11.1,8.5
2014-15,2015,March,3,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-03-01,272078,211605,2411810,11.3,8.8
2015-16,2015,April,4,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-04-01,268168,206374,2355308,11.4,8.8
2015-16,2015,May,5,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-05-01,284826,213163,2413049,11.8,8.8
2015-16,2015,June,6,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-06-01,275436,208578,2386457,11.5,8.7
2015-16,2015,July,7,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-07-01,272053,205444,2453014,11.1,8.4
2015-16,2015,August,8,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-08-01,253310,188027,2313548,10.9,8.1
2015-16,2015,September,9,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-09-01,253875,186849,2303513,11,8.1
2015-16,2015,October,10,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-10-01,258287,192630,2344179,11,8.2
2015-16,2015,November,11,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-11-01,254600,191190,2308769,11,8.3
2015-16,2015,December,12,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-12-01,235534,180072,2320539,10.1,7.8
2015-16,2016,January,1,Table 55: Notional Value of Offshore Derivative Instruments vs Assets Under Custody of Foreign Porfolio Investors/Deemed FPIs (Amount in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-01-01,231317,171732,2200837,10.5,7.8
