fiscal_year,year,month,month_numeric,data_from_table,measure_type,portfolio_category,line_item,value,released_on,updated_on,data_source,data_url
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,number_of_clients,non_discretionary,,4755,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,number_of_clients,advisory,,11289,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,listed_equity,16012.210000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,unlisted_equity,1748.5369,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,plain_debt,470746.84820000007,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,structured_debt,1301.2956000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,equity_derivative,103.862,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,mutual_fund,3852.9269999999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,others,16148.563799999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,discretionary,total,509914.24,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,listed_equity,4604.3336,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,unlisted_equity,8428.307999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,plain_debt,9799.3134,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,structured_debt,730.7695000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,equity_derivative,0.0001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,mutual_fund,4990.0226,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,others,290.9270999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,non_discretionary,total,28843.6743,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,advisory,total,78450,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,listed_equity,20616.543600000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,unlisted_equity,10176.8449,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,plain_debt,480546.16160000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 62: Assets Under Management by Portfolio Managers,aum_inr_crore,grand_total,structured_debt,2032.0651000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
