fiscal_year,month,month_numeric,data_from_table,listed_only_on_bse_no_of_issues,listed_only_on_bse_amount_rs.crore,listed_only_on_nse_no_of_issues,listed_only_on_nse_amount_rs.crore,listed_both_on_nse_and_bse_no_of_issues,listed_both_on_nse_and_bse_amount_rs.crore,total_no_of_issues,total_amount_rs.crore,released_on,updated_on,data_source,data_url
2016-17,June,6,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,180,9521.42,102,13101.95,25,10952.5,307,33575.87,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,July,7,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,189,8491.05,98,20213.5,16,8069.7,303,36774.25,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,August,8,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,268,31265.4,85,23284.9,22,16615,375,71165.3,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,September,9,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,191,33333.22,97,18688.95,10,15930,298,67952.17,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,October,10,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,186,25057.41,81,27883.15,8,17455,275,70395.56,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,November,11,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,150,12839.04,63,15755.6,8,10050,221,38644.64,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,December,12,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,180,23721.28,107,21545.3,10,14320,297,59586.58,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,January,1,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,134,20652.22,40,13316,9,11989,183,45957.22,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,February,2,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,140,11828.35,84,11251.65,6,7071,230,30151,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,March,3,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,203,35787.68,65,14607.35,34,35238,302,85633.03,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
