fiscal_year,month,month_numeric,data_from_table,bse_no.of_issues,bse_amount_crore,nse_no.of_issues,nse_amount_crore,msei_no.of_issues,msei_amount_crore,common_nse_bse_msei_no.of_issues,common_nse_bse_msei_amount_crore,total_no.of_issues,total_amount_crore,released_on,updated_on,data_source,data_url
2015-16,December,12,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,1,0.2055,24,578.520991196,25,578.726491196,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,January,1,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,1,6.8208,29,3939.137246744,30,3945.958046744,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,February,2,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,28,1509.541280802,28,1509.541280802,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,March,3,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,2,2.7199999999999998,34,2325.754203557,36,2328.474203557,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,April,4,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,2,0.79,47,3929.663601538,49,3930.453601538,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,May,5,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,64,5218.489019096001,64,5218.489019096001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,June,6,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,1,0.16,32,2009.3435679509998,33,2009.503567951,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,July,7,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,1,0.72,36,1793.8230584719995,37,1794.5430584719995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,August,8,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,2,13.0999968,17,349.74925077899996,19,362.84924757899995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,September,9,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,16,5464.607827133,16,5464.607827133,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,October,10,Table 6: Resource Mobilisation through Preferential Allotments,1,7.11,0,0,1,5.697,29,5831.387307296999,31,5844.194307296999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,November,11,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,22,2496.6321305090005,22,2496.6321305090005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,December,12,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,34,3124.5736654490006,34,3124.5736654490006,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,January,1,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,34,8767.760341918998,34,8767.760341918998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,February,2,Table 6: Resource Mobilisation through Preferential Allotments,1,0.648,0,0,0,0,26,1098.3042880599999,27,1098.9522880599998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,March,3,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,43,4122.3163452590015,43,4122.3163452590015,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,April,4,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,1,3.19,41,1834.6420131359996,42,1837.8320131359997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,May,5,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,1,3.8192,48,2376.8753645430006,49,2380.6945645430005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,June,6,Table 6: Resource Mobilisation through Preferential Allotments,1,0.021096,0,0,1,2,40,4833.438127997,42,4835.459223997001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,July,7,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,28,560.740162784,28,560.740162784,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,August,8,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,31,5497.0718102949995,31,5497.0718102949995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,September,9,Table 6: Resource Mobilisation through Preferential Allotments,1,0.612,0,0,1,5.0031,28,8167.640971724001,30,8173.256071724001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,October,10,Table 6: Resource Mobilisation through Preferential Allotments,0,0,1,2.8,0,0,23,3124.700477076,24,3127.500477076,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,November,11,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,29,1512.9615340250002,29,1512.9615340250002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,December,12,Table 6: Resource Mobilisation through Preferential Allotments,0,0,1,7.5,0,0,42,12785.2693,43,12792.7693,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,January,1,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,42,913.2893695970001,42,913.2893695970001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,February,2,Table 6: Resource Mobilisation through Preferential Allotments,0,0,2,7.1,2,3.55,30,13510.293647941,34,13520.943647941,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,March,3,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,26,4374.257856563999,26,4374.257856563999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,April,4,Table 6: Resource Mobilisation through Preferential Allotments,0,0,1,8,1,13.6986264,58,72428.37705941199,60,72450.07568581199,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,May,5,Table 6: Resource Mobilisation through Preferential Allotments,1,0.64,0,0,0,0,24,2811.21,25,2811.85,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,June,6,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,39,24546.837079493,39,24546.837079493,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,July,7,Table 6: Resource Mobilisation through Preferential Allotments,0,0,4,14.996900000000002,0,0,44,11346.252,48,11361.2489,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,August,8,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,34,4238.67,34,4238.67,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,September,9,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,0,0,22,3412.1806733299995,22,3412.1806733299995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,October,10,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,1,1.944,28,3644.390000000001,29,3646.3340000000007,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,November,11,Table 6: Resource Mobilisation through Preferential Allotments,0,0,2,17.875,0,0,32,24241.59,34,24259.465,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,December,12,Table 6: Resource Mobilisation through Preferential Allotments,0,0,0,0,1,5.30197,35,3210.0699999999997,36,3215.3719699999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,January,1,Table 6: Resource Mobilisation through Preferential Allotments,0,0,1,7.3152,0,0,25,19837.16,26,19844.4752,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,February,2,Table 6: Resource Mobilisation through Preferential Allotments,0,0,2,23,0,0,25,12973.718976,27,12996.718976,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,March,3,Table 6: Resource Mobilisation through Preferential Allotments,0,0,2,2.4800013,0,0,20,27373.410000000003,22,27375.890001300002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,April,4,Table 6: Resource Mobilisation through Preferential Allotments,7,21.529999999999998,0,0,0,0,16,35806.250421446006,23,35827.780421446005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,May,5,Table 6: Resource Mobilisation through Preferential Allotments,24,274.975026547,1,5.8717204,0,0,11,19570.313539587,36,19851.160286534003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,June,6,Table 6: Resource Mobilisation through Preferential Allotments,7,59.51,1,7.21,2,8.921299999999999,17,15402.220000000001,27,15477.8613,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,July,7,Table 6: Resource Mobilisation through Preferential Allotments,19,151.05999999999997,2,8.27,0,0,9,4236.679999999999,30,4396.009999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,August,8,Table 6: Resource Mobilisation through Preferential Allotments,8,15.28,3,25.7239352,0,0,5,293.782491,16,334.7864262,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,September,9,Table 6: Resource Mobilisation through Preferential Allotments,8,127.92999999999999,0,0,2,2.344,10,1361.54,20,1491.814,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,October,10,Table 6: Resource Mobilisation through Preferential Allotments,11,46.22999999999999,0,0,0,0,8,574.4170410959999,19,620.647041096,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,November,11,Table 6: Resource Mobilisation through Preferential Allotments,13,73.89,0,0,0,0,10,28829.670000000002,23,28903.56,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,December,12,Table 6: Resource Mobilisation through Preferential Allotments,10,313.45,2,9.784,0,0,14,38188.44,26,38511.674,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,January,1,Table 6: Resource Mobilisation through Preferential Allotments,12,554.8499999999999,0,0,0,0,16,6527.35,28,7082.200000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,February,2,Table 6: Resource Mobilisation through Preferential Allotments,5,129.91,1,6.22,0,0,9,1826.2300000000002,15,1962.3600000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,March,3,Table 6: Resource Mobilisation through Preferential Allotments,6,84.62,4,13.05,0,0,11,20328.940000000002,21,20426.61,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,April,4,Table 6: Resource Mobilisation through Preferential Allotments,14,117.45,0,0,0,0,8,988.95,22,1106.4,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,May,5,Table 6: Resource Mobilisation through Preferential Allotments,4,11.14,0,0,0,0,7,295.88,11,307.02,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,June,6,Table 6: Resource Mobilisation through Preferential Allotments,10,64.96,0,0,0,0,8,3967.7,18,4032.66,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,July,7,Table 6: Resource Mobilisation through Preferential Allotments,9,83.64,0,0,0,0,9,798.85,18,882.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,August,8,Table 6: Resource Mobilisation through Preferential Allotments,10,101.04,2,9,0,0,6,2626.62,18,2736.66,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,September,9,Table 6: Resource Mobilisation through Preferential Allotments,7,43.41,2,10.46,0,0,11,7621.09,20,7674.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,October,10,Table 6: Resource Mobilisation through Preferential Allotments,5,63.09,2,30.1,3,7.8,15,1851.29,25,1952.28,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,November,11,Table 6: Resource Mobilisation through Preferential Allotments,6,149.51,1,1.2,0,0,6,6858.08,13,7008.79,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,December,12,Table 6: Resource Mobilisation through Preferential Allotments,8,101.24,2,5.9,1,2.32,6,1672.11,17,1781.57,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
