fiscal_year,month,month_numeric,data_from_table,airlines,automobile,banking_fis,cement_construction,chemicals,consumer_services,electrical_equipment_production,engineering,entertainment,finance,food_processing,healthcare,hotels,information_technology,insurance,miscellaneous,oil_natural_gas,paper_pulp,plastic,power,printing,roads_highways,telecommunication,textile,total,released_on,updated_on,data_source,data_url
2016-17,July,7,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,,14.76,6.21,,1236,,410.18,1039,,,3.58,,,,2.72,2712.45,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,August,8,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,1212.98,,,,,,,,411.7008,,,,,11.22,,,,,,653.98,,239.12,2529.0008,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,September,9,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,130.41,,5.04,,,1.86,6.6792,4.82,,,,,894.4,6056.7913372,97.516,,,,,,,,7.69219,7205.2087272,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,October,10,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,1161.7347328,,29.799999999999997,,2.96,5.18,5.83,18.43,43.423875,,36.03,,,,15.7,,,,360.9999974,,,,17.389599999999998,1697.4782052,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,November,11,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,3000,1112.5,,,,,12.936,,,,,,,,,4125.436,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,December,12,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,658.958062,,,,,,,,,1330.508432,,,,529.8156,,,,,,,,19.6475,2538.929594,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,January,1,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,4.218,,,,,,,,,,,32.29,,,,,,,,13.6,50.108,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,February,2,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,49.99924725,,,,,4.48,,,,,,,,,1294.232,,49.7538456,,,,,,,1398.46509285,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,March,3,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,1754.9827463000001,39.96,12.4452,238.952,26.158,,488.528649,,65.03536,,,25.5,,1925.0249994,,,,,,,,21.009999999999998,4597.5969547,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,April,4,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,368.36134000000004,30.266000000000002,,2.7,,,3.24,10.23,,,42.93,,26.40275,,,149.991975,,,,,87.82667,721.9487350000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,May,5,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,2.88,,215.57,,728.556794,1209.57,6.24,58.5,,36.78,,396.6163296,,,,,,,,,2654.7131235999996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,June,6,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,14.46,,5.073,,,,,1741.1625,,12.35,,523.99,,,,,,,776.6882324,13.7088,3087.4325323999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,July,7,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,1912.5136502,27.831,,3.32,5.59,38.182811199999996,,,,,,,,153.633806,,,,,,,490.63205,6.2,2637.9033173999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,August,8,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,779.58,31.8236,,,,12.03,14.2272,,226.691106,,1485.8600000000001,,,,,,,,,2550.2119060000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,September,9,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,405.508,,11.690000000000001,6.68,,,,171.5,12.01,,497.48,5700.9390607,33.479299999999995,,,4.06,,14.1669,600.65,,25.64,7483.8032607,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,October,10,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,46.879999999999995,,26.810000000000002,,,,1487.136485,1662.8723439999999,35.626,,45.53,19575.843,202.18052479999997,,,39.14,7.24,,,,,23129.2583538,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,November,11,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,891.6099676,,,,17.79,,,1542.24,,,1518.843225,,18295.006722,902.1948434000001,,4.29,,,,,,543.056925,23715.031683,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,December,12,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,42.239999999999995,,3.38,59.136344,,4.21,,,510.7999824,,591.3944053,,710.9536384,,69.83,,10.14,,,,,2002.0843701000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,January,1,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,780.6414732,,,34.87,,,15.12,,16.01,,,424.62,,196.2304462,,,,,,,,73.01801520000001,1540.5099346,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,February,2,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,945.993752,14.05,12,,,,44.34,1011.841155,,,,140.7051925,,,4.004,7.18,,,,4.45,2184.5640994999994,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,March,3,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),4113.13,,4473.018525,,7.728,21.55,,504.009997,11.544,92.74,54.97,,,29.99980335,,17511.722467500003,,,,,,,20.009,18.22,26858.64179285,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,April,4,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,545.9699808,,86.4,38.449999999999996,,106.07471220000001,32.004,,3480.11586,,,1038.68464,,,498.9799999999999,10.08,,,11.34,,40.551,,89.00999999999999,5977.660193000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,May,5,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,14.83,,,56.575199999999995,141.8736,,1843.9999864,8.04,4.2,,44.800200000000004,,65.01318,,,,,,,,26.99,2206.3221663999993,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,June,6,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,9.288,7.5,32.2,22.79,,,18.3776,,,,,67.27784,,,,,,5.256,,13.8384,176.52784,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,July,7,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,1955.441291,,16.49,628.8538302,18.7452,,19.44,,,,11.98,,,,955.7054435999999,,,,,,,,1130.1273208,4736.7830856,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,August,8,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,1131.1876268,,15.24,,13.5456,,1.35,2800.33105,,,,,,470.8933007,,,,,,,,,4432.5475774999995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,September,9,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,484.9385,,,,38.5308,,,,26.46,,,,82.8918,,,35.52,,,4.7766,,24.6,697.7177,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,October,10,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,5.2,,10.74,,,42.8736,421.85919999999993,,1640.3171963,64,,1.94,,,113.2604,,,,,,4.8816,,27.4416,2332.5135963000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,November,11,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,,,,,,,,,,,,,,,,,,,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,December,12,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,498.735318,,,,,,,,42.12,,,,27.1204,,,3,,,31.5,,,602.475718,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,January,1,Table 2: Industry-wise Classification of Resource Mobilisation (Equity Issues),,,,,,,39.94,,,248.749632,,,,,,200.8726209,,,,,,,,10.51,500.07225289999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
