fiscal_year,month,month_numeric,data_from_table,total_no_of_issues,total_amount_cr,lt_5_crore_no_of_issues,lt_5_crore_amount_cr,gte_5_crore_lt_10_crore_no_of_issues,gte_5_crore_lt_10_crore_amount_cr,gte_10_crore_lt_50_crore_no_of_issues,gte_10_crore_lt_50_crore_amount_cr,gte_50_crore_lt_100_crore_no_of_issues,gte_50_crore_lt_100_crore_amount_cr,gte_100_crore_lt_500_crore_no_of_issues,gte_100_crore_lt_500_crore_amount_cr,gte_500_crore_no_of_issues,gte_500_crore_amount_cr,released_on,updated_on,data_source,data_url
2017-18,June,6,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),7,3087.4300000000003,0,0,1,5.07,3,40.52,0,0,0,0,3,3041.84,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,July,7,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),15,2637.9,2,5.55,7,43.22,3,72.11,0,0,2,604.51,1,1912.51,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,August,8,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),14,2550.21,3,9.71,1,5.7,7,113.32,0,0,1,198.97,2,2222.51,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,September,9,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),18,8083.09,2,8.82,4,23.88,6,99.79,0,0,3,1049.73,3,6900.87,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,October,10,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),36,23129.260000000002,3,11,7,46.45,20,396.33,0,0,2,941.6,4,21733.88,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,November,11,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),14,23715.02,2,8.21,0,0,5,105.66,0,0,0,0,7,23601.15,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,December,12,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),20,2002.08,4,16.87,3,22.72,9,239.07,1,69.83,1,499.09,2,1154.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,January,1,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),14,2140.08,1,4.05,2,16.58,6,98.92,1,59.7,2,580.62,2,1380.21,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,February,2,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),21,2184.56,4,17.72,6,45.79,9,203.83,0,0,0,0,2,1917.22,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,March,3,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),24,26858.63,1,4.31,4,26.15,9,204.71,2,147.71,1,462,7,26013.75,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,January,1,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,500.07,0,0,0,0,2,50.45,0,0,2,449.62,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,February,2,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),9,1754.99,2,4.9,3,24.81,3,84.1,0,0,0,0,1,1641.18,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,March,3,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),8,304.25,2,5.27,2,15.53,3,72.41,0,0,1,211.04,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,April,4,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),10,3168.7000000000003,2,5.86,0,0,5,136.18,0,0,1,477.11,2,2549.55,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,May,5,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),11,50196.01,2,2.19,2,15.1,4,107.58,0,0,1,132.35,2,49938.79,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,June,6,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),3,52.58,0,0,1,9.97,2,42.61,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,July,7,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),9,2010.9099999999999,3,11.59,2,13.21,2,25.52,0,0,1,475.59,1,1485,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,August,8,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),8,4680.98,0,0,0,0,4,80.58,0,0,2,560.91,2,4039.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,September,9,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,20.52,2,5.84,2,14.68,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,October,10,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),10,986.22,3,10.12,0,0,4,77.14,1,60,1,201,1,637.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,November,11,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),2,24.21,1,2.64,0,0,1,21.57,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,December,12,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),5,1672.75,0,0,1,6.32,1,10.8,0,0,2,909.68,1,745.95,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,January,1,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,25.689999999999998,2,6.9399999999999995,1,7.23,1,11.52,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,February,2,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),6,3482.17,2,8.32,1,8,2,35.69,0,0,0,0,1,3430.16,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,March,3,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),7,10728.439999999999,2,6.95,2,15.36,1,15.33,0,0,1,350,1,10340.8,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,April,4,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),3,13.92,2,5.640000000000001,1,8.28,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,May,5,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),1,171.12793960001727,0,0,0,0,0,0,0,0,1,171.12793960001727,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,June,6,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),2,53126.659999999996,1,2.46,0,0,0,0,0,0,0,0,1,53124.2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,July,7,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),5,15910.78,1,4.02,0,0,1,10.51,0,0,2,896.25,1,15000,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,August,8,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),9,6107.75,1,4.55,1,6.9,1,24.87,1,79.53,2,415.77,3,5576.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,September,9,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),5,1671.595,0,0,1,6.885,0,0,0,0,2,362.69,2,1302.02,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,October,10,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),17,6440.6062999999995,4,18.076300000000003,1,8.09,4,60.97,1,61.2,4,1290.27,3,5002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,November,11,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,7070.0352,1,1.59,0,0,0,0,1,71.3,0,0,2,6997.1452,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
