fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,fpi_fii_sa_no,fpi_fii_sa_amt,insurance_company_no,insurance_company_amt,mutual_funds_no,mutual_funds_amt,fdi_investments_no,fdi_investments_amt,foreign_depository_no,foreign_depository_amt,banks_no,banks_amt,financial_institutions_no,financial_institutions_amt,local_pension_funds_no,local_pension_funds_amt,foreign_venture_capital_investment_no,foreign_venture_capital_investment_amt,corporates_no,corporates_amt,portfolio_management_services_no,portfolio_management_services_amt,nris_no,nris_amt,global_depository_receipts_no,global_depository_receipts_amt,ocbs_no,ocbs_amt,others_no,others_amt,total_no,total_amt
2019-20,2020,January,1,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-01-01,9717,3500233.73,785,1800262.3,1768,2340974.8099999996,2031,982786.66,66,336731.24000000005,119,361448.65,25,52060.75,124,462904.91,209,38965.03999999999,562,102043.49999999999,14287,113683.41,681,3177.48,578,20152.389999999992,25,2279.6599999999994,10014,900595.23,40991,11018299.76
2019-20,2020,February,2,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-02-01,9761,3317414.5299999993,786,1731058.4100000001,1775,2277397.68,2066,970312.84,66,315059.06,120,356576.75,26,47774.16,124,468278.43999999994,209,38281.44,570,99170.57,14550,109580.31000000001,687,3090.3399999999997,578,19832.409999999996,25,2082.12,9975,895796.6599999998,41318,10651705.719999999
2019-20,2020,March,3,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-03-01,9823,2490223.13,788,1547955.17,1624,1891120.2000000002,2079,832863.6900000001,66,227791.97,121,412044.01999999996,25,40702.490000000005,124,477968.29000000004,208,38124.84,598,88517.75,14715,89045.47,693,2098.92,583,20020.229999999996,25,1582.04,10297,858649.38,41769,9018707.59
2020-21,2020,April,4,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-04-01,9916,2819840.63,790,1656179.49,1621,2031625.4199999997,2088,891652.5400000002,66,264852.96,121,484474.7799999999,26,42889.590000000004,124,486918.54999999993,208,38313.55,600,92221.83,14745,98642.87000000001,693,2287.0299999999997,580,20689.800000000003,25,1678.47,10304,881062.3700000001,41907,9813329.88
2020-21,2020,May,5,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-05-01,9912,2743734.0700000003,790,1650619.5999999999,1622,2001267.16,2098,869794.2500000002,66,251650.89000000004,121,496496.67000000004,26,44232.990000000005,112,493260.74,210,38512.69,600,96705.97,14799,96578.51000000001,698,2438.62,581,19204.57,25,1564.7999999999997,10275,870534.48,41935,9676596.01
2020-21,2020,June,6,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-06-01,9911,2979825.58,793,1731728.51,1625,2032087.29,2106,927607.8900000001,66,310240.29,124,494660.29,26,44802.16,112,503181.73000000004,211,38925.86,598,98195.29000000001,14946,102485.51,703,2639.0399999999995,571,19169.889999999996,25,1721.1399999999999,10312,894882.02,42129,10182152.49
2020-21,2020,July,7,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-07-01,10059,3167785.4099999997,793,1790710.93,1630,2101536.28,2145,981263.9700000001,66,342150.79,124,509473.4,26,45490,119,513076.48,212,39105.11,615,99802.41999999997,15149,106676.36999999998,740,2753.77,582,19391.75,25,1769.78,10924,914841.0399999998,43209,10635827.499999998
2020-21,2020,August,8,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-08-01,10071,3317805.32,792,1834368.24,1636,2158248.8299999996,2155,1016525.7299999999,66,361713.46,123,520463.14,26,46103.4,119,524306.98,212,39604.96,624,101890.3,15318,111248.58000000002,746,2879.08,570,19722.29,25,1760.3599999999997,11368,934833.56,43851,10991474.229999999
2020-21,2020,September,9,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-09-01,9972,3322393.0000000005,794,1823503.4400000002,1630,2098922.56,2177,1050353.81,66,368260.05000000005,124,513385.09,26,42735.5,115,533973.8,212,40359.68,635,102139.50000000001,15668,113999.96,765,2742.21,580,19978.000000000004,25,1604.4899999999998,11566,928153.2499999999,44355,10962504.340000002
2020-21,2020,October,10,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-10-01,9984,3436257.5100000007,793,1854228.43,1632,2166199.39,2229,1082379.3800000001,66,382987.29,123,527990.7,26,36541.14,115,544212.66,211,40576.450000000004,640,103530,15996,114705.17999999998,785,2732.6600000000003,583,20185.399999999998,25,1828.28,11678,956308.72,44886,11270663.190000001
2020-21,2020,November,11,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-11-01,10017,3850842.89,792,1959835.5799999998,1630,2295811.2800000003,2253,1194938.6099999999,66,431561.42,123,532753.1100000001,26,40181.52,113,552864.79,214,40479.719999999994,639,104591.18000000001,16371,126731.09,794,2928.46,581,20296.260000000006,24,2166.94,11691,1004049.31,45334,12160032.160000002
2020-21,2020,December,12,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2020-12-01,10143,4182214.880000001,794,2045393.74,1633,2392396.6,2273,1226429.17,66,416169.79,123,517550.58999999997,27,41423.73,115,567252.16,214,40532.049999999996,665,110177.06999999999,16825,134073.91,800,3058.3799999999997,581,21133.300000000003,24,2263.7,11797,1023310.69,46080,12723379.759999998
2020-21,2021,January,1,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-01-01,10149,4115463.4400000004,793,2038213.43,1617,2387992.66,2299,1220802.88,66,411615.61,79,531049.03,27,41080.270000000004,103,577181.99,213,41597.159999999996,651,103322.43,17517,130974.18,790,3064.5000000000005,569,20841.47,23,1986.7599999999998,11868,1013399.47,46764,12638585.280000003
2020-21,2021,February,2,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-02-01,10169,4406706.26,794,2139756.15,1621,2481119.8000000003,2317,1263517.7699999998,66,452758.98,79,546317.8700000001,27,42069.590000000004,102,589969.8200000001,216,42089.92,672,117561.47,18118,139749.61000000002,789,3271.82,565,21555.61,23,2263.77,12020,1050160.53,47578,13298868.969999997
2020-21,2021,March,3,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-03-01,10178,4462903.279999999,794,2164195.9000000004,1582,2478604.9400000004,2340,1305900.2699999998,66,456690.09,79,555211.81,27,39926.51,98,600289.0400000002,215,42525.5,679,117686.38,18897,144114.52,792,3345.92,561,21853.25,23,2208.4499999999994,12262,1068405.86,48593,13463861.72
2021-22,2021,April,4,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-04-01,10199,4453909.67,795,2173729.36,1583,2522617.76,2381,1308004.7199999997,66,452466.44,79,564949.93,27,38616.57,98,608953.82,215,42468.41,687,116521.86000000002,19383,151170.46000000002,795,3378.75,557,22406.23,23,2170.18,12391,1071775.5599999998,49279,13533139.719999999
2021-22,2021,May,5,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-05-01,10255,4725719.119999998,782,2271296.29,1575,2640878.4299999997,2400,1376112.48,10,485750.5,79,579760.27,27,35708.130000000005,97,618500.02,218,43349.03,711,119940.67,19946,164964.97999999998,807,3580.4200000000005,553,22543.77,23,2279.6400000000003,12578,1092742.87,50061,14183126.619999997
2021-22,2021,June,6,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-06-01,10318,4799716.180000001,754,2294877.96,1518,2651699.4299999997,2430,1398384.15,10,493937.26999999996,79,582883.17,24,34865.61,96,540185.3,218,42738.770000000004,729,220687.09000000003,20813,172026.12,838,3668.18,546,22370.489999999998,23,2451.1400000000003,12828,1092911.2299999997,51224,14353402.09
2021-22,2021,July,7,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-07-01,10300,4836007.040000001,748,2305169.9400000004,1517,2758496.03,2447,1443454.8900000001,10,505869.00999999995,77,598852.78,24,35338.86,83,546756.28,216,43266.24,750,223150.63000000003,21631,179256.03999999998,868,3897.7799999999997,542,23237.559999999998,23,2373.95,13168,1102892.45,52404,14608019.480000002
2021-22,2021,August,8,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-08-01,10356,5199465.409999999,751,2407466.41,1526,2865976.28,2498,1529024.4400000002,10,541046.19,77,615195.9400000001,24,36292.69,83,556807.4299999999,217,40330.4,771,223429.58000000002,22410,192442.7,900,3063.0699999999997,541,22019.45,23,2574.21,13609,1137624.68,53796,15372758.88
2021-22,2021,September,9,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-09-01,10383,5371288.039999999,744,2472445.1199999996,1534,2904265.88,2549,1563178.8800000001,10,547144.46,78,609418.5900000001,24,38223.18,83,572367.5299999999,217,43609.82,785,225797.14999999997,23251,198276.13000000003,951,3256.8200000000006,544,22052.52,23,2786.8799999999997,14188,1169304.91,55364,15743415.909999998
2021-22,2021,October,10,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-10-01,10401,5360300.12,741,2482743.27,1503,2935413.39,2585,1567526.8600000006,10,567679.89,79,607708.7600000001,24,36478.21,83,585188.2000000001,217,43716.41,817,226472.35,23748,199917.65000000002,998,3246.8300000000004,542,22441.3,23,2811.71,14881,1177476.7,56652,15819121.650000002
2021-22,2021,November,11,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-11-01,10433,5223798.1499999985,846,2448630.4,1499,2912987.57,2615,1611422.65,10,531265.0099999999,80,601156.01,24,35828.15,84,594632.8700000001,217,46212.630000000005,851,224861.98999999996,24081,199355.34999999998,1040,3178.91,541,22301.26,23,2679.2500000000005,15364,1173285.0999999999,57708,15631595.299999997
2021-22,2021,December,12,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-12-01,10483,5272593.4399999995,727,2505511.62,1508,2940692.5,2640,1779496.6199999999,10,540007.69,80,599716.39,23,35127.17,83,607081.9200000002,219,43963.26,876,228606.19000000003,24546,207200.79999999996,1082,3260.15,551,21820.440000000002,23,2643.68,15585,1183113.1099999999,58436,15970834.979999999
2021-22,2022,January,1,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-01-01,10554,5213113.92,727,2549571.82,1504,2992801.13,2676,1859557.14,10,531099.56,82,604615.52,23,36172.9,83,618533.47,219,43940.27,909,232698.12,24911,204722.52999999997,1138,3243.42,553,23520.219999999998,23,2155.45,16109,1201829.6300000001,59521,16117575.100000001
2021-22,2022,February,2,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-02-01,10658,4974869.11,731,2506288.54,1521,2943910.33,2686,1830772.1300000004,10,506140.53,82,578281.33,23,35607.72,83,630538.2000000001,219,42440.22000000001,947,228130.71,25323,202195.05000000002,1197,3075.6600000000003,551,22646.28,23,1996.93,16646,1210320.6800000002,60700,15717213.420000002
2021-22,2022,March,3,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-03-01,10742,5097011.77,732,2590262.96,1529,3057108.9199999995,2716,1911826.3600000003,10,521600.97000000003,78,589129.29,23,38789.950000000004,80,646576.6399999999,220,42090.030000000006,995,234027.32,25657,221417.44000000003,1239,3044.5400000000004,560,23651.770000000004,23,2005.08,17130,1257390.58,61734,16235933.620000001
2022-23,2022,April,4,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-04-01,10804,5074210.790000001,764,2594129.3999999994,1495,3069281.58,2742,2053430.01,10,482214.38999999996,79,596413.87,23,38905.6,102,698092.2699999999,221,42317.97000000001,1015,235072.74000000002,25982,244307.08000000002,1283,3086.03,563,24926.510000000002,23,2007.6299999999999,17449,1260597.99,62555,16418993.86
2022-23,2022,May,5,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-05-01,10832,4823001.600000001,761,2557345.95,1493,2993446.7600000002,2770,2013513.3599999999,10,465546.44,79,595091.3200000001,23,39464.350000000006,102,708700.95,221,43821.23,1048,233376.24000000002,26269,240926.81000000003,1331,2890.48,561,21822.5,23,1780.1799999999998,18111,1261771.43,63634,16002499.600000001
2022-23,2022,June,6,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-06-01,10855,4542304.620000001,757,2509367.23,1489,2884719.0800000005,2804,1976576.83,10,440125.12000000005,80,587906.98,23,39069.68,102,716641.63,218,43770.41,1076,230684.48000000004,26457,240573.02999999997,1366,2863.6400000000003,568,22499.100000000002,23,1439.7,18153,1254702.81,63981,15493244.340000002
2022-23,2022,July,7,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-07-01,10888,4931159.7299999995,759,2791711.12,1492,3076794.52,2876,2248467.3,10,469483.68,82,612473.7400000001,23,42449.31,102,739971.72,218,43077.25,1103,235448.52000000002,26649,257986.55999999994,1398,3083.1200000000003,570,23156.07,23,1554.7299999999998,18511,1260788.93,64829,16737606.299999999
2022-23,2022,August,8,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-08-01,10953,5209180.220000002,762,2881667.23,1441,3204521.89,2887,2353220.5999999996,10,484686.53,84,623967.46,23,44324.380000000005,110,758484.92,218,44587.26,1123,241037.64999999997,26827,266551.75,1445,3290.4700000000007,569,22956.63,23,1292.7599999999995,18964,1289895.9100000001,65439,17429665.66
2022-23,2022,September,9,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-09-01,11034,5029637.979999999,758,2844626.1999999997,1445,3147609.8299999996,2914,2302257.3800000004,10,461862.7,84,617523.6,23,45600.82000000001,126,771117.59,218,44811.340000000004,1160,235680.5,27055,262611.22000000003,1499,3175.62,564,23117.72,23,778.95,19552,1313820.58,66465,17104232.029999994
2022-23,2022,October,10,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-10-01,11040,5212332.710000002,764,2927186.42,1470,3237411.3099999996,2940,2332171.9599999995,10,486994.99000000005,84,606673.32,24,47420.310000000005,126,792286.63,220,44108.67,1162,238747.42999999996,27149,264598.99,1545,3241.55,565,23820.460000000003,23,1055.8999999999999,19868,1343267.1100000003,66990,17561317.76
2022-23,2022,November,11,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-11-01,11084,5398302.82,764,3006966.64,1515,3331290.7899999996,2981,2352157,10,522379.89999999997,85,602870.4,24,42770.329999999994,126,809768.96,220,45066.64,1187,240011.54,27153,267962.74000000005,1622,3694.05,565,23533.72,23,642.55,20327,1377789.5,67686,18025207.58
2022-23,2022,December,12,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-12-01,11112,5245010.11,765,2987854.64,1539,3316105.83,3011,2313773.8499999996,10,506144.84,85,603855.58,24,41761.42999999999,126,823008.6799999999,219,44651.020000000004,1211,242121.74999999997,26817,264539.03,1678,3660.37,564,23974.350000000002,23,606.78,20854,1391959.98,68038,17809028.240000002
2022-23,2023,January,1,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-01-01,11156,5013735,764,2945306,1474,3303437,3033,2173931,10,489264,84,595306,23,43635,126,839319,220,45777,1240,244651,26851,257865,1768,3769,561,25207,23,602,21244,1378690,68577,17360494
2022-23,2023,February,2,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-02-01,11160,4832772,765,2906365,1489,3261367,3034,2040498,10,483628,85,658253,23,45894,129,856932,218,45607,1257,238194,26958,256048,1854,3413,563,23199,23,514,21850,1396177,69418,17048861
2022-23,2023,March,3,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-03-01,11216,4870792,768,2942186,1497,3300913,3077,2085733,16,480942,87,660272,23,48128,128,869641,222,45786,1274,245151,26986,254075,1345,3363,559,23734,23,458,22271,1391196,69492,17222369
2023-24,2023,April,4,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-04-01,11301,5084725,768,3036280,1500,3471280,3116,2167529,15,490273,87,653396,23,55408,128,889806,218,44081,1290,243646,27021,262737,1369,3566,560,23917,23,486,22757,1433287,70176,17860416
2023-24,2023,May,5,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-05-01,11341,5295744,767,3113781,1497,3602357,3152,2239806,15,487641,87,668218,23,55852,128,914829,220,43044,1317,246206,26903,270002,1349,3754,564,23323,23,518,23317,1457866,70703,18422940
2023-24,2023,June,6,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-06-01,11355,5563382,766,3065344,1533,3728968,3175,2294984,9,502327,87,674903,23,59300,128,942021,223,41874,1343,253461,26747,404732,1359,4518,574,24411,23,609,24016,1485874,71361,19046707
2023-24,2023,July,7,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-07-01,11319,5753354,797,3125955,1534,3880382,3175,2357343,9,502447,88,688497,22,60557,128,964439,223,41909,1359,258988,26640,413808,1386,5429,577,31152,23,669,24889,1514466,72169,19599393
2023-24,2023,August,8,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-08-01,11328,5763447,798,3127738,1559,3910469,3184,2368095,9,492328,89,699739,22,49470,128,979503,223,42878,1400,264367,26826,419012,1419,5776,578,27426,23,686,26008,1520516,73594,19671453
2023-24,2023,September,9,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-09-01,11323,5845760,802,3195913,1569,3953720,3211,2421068,9,489527,90,693291,22,50100,128,1000933,224,42135,1433,274553,26779,425745,1490,5872,582,26635,23,684,27163,1555764,74848,19981699
2023-24,2023,October,10,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-10-01,11331,5679629,806,3146703,1585,3930699,3234,2379689,9,470926,89,778668,22,46358,128,1015209,224,42011,1477,272103,26642,427921,1556,5934,584,26554,23,621,28301,1571183,76011,19794208
2023-24,2023,November,11,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-11-01,11307,6080067,803,3273800,1599,3836157,3261,2492655,9,493448,89,803827,22,47941,139,1360569,234,49532,1420,288684,26413,449310,1617,6356,584,26696,23,672,29256,1620690,76776,20830404
2023-24,2023,December,12,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2023-12-01,11282,6609378,805,3479060,1588,4405037,3306,2572430,9,532114,88,792834,22,50514,140,1076081,236,61562,1472,302843,26681,466604,1688,6918,586,26912,23,698,30492,1694302,78418,22077287
2023-24,2024,January,1,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-01-01,11285,6696994.180000002,808,3564993.9200000004,1597,4597289.47,3333,2638647.4899999993,9,520004.17999999993,88,788974.5900000001,21,49118.78,140,1100916.4999999998,233,41368.13,1539,319687.78,26834,468758.98999999993,1836,7040.4400000000005,586,27644.51,23,687.4,31767,1717639.1600000039,80099,22539765.520000003
2023-24,2024,February,2,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-02-01,11345,6855019.4,810,3637051.06,1602,4674260.8100000005,3357,2695100.41,9,521078.56,88,799410.0099999999,21,45573.899999999994,140,1124524.5899999999,233,40597.369999999995,1578,314222.73,26761,474353.85,1982,6778.43,592,27813.96,23,663.89,33296,1761817.870000001,81837,22978266.840000004
2023-24,2024,March,3,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-03-01,11365,6953987.69,811,3691165.7299999995,1563,4702435.430000001,3382,2723152.54,9,526941.28,88,786385.51,21,47547.049999999996,141,1149735.92,234,40878.490000000005,1677,315572.7699999999,26740,478680.3599999999,2071,6760.93,594,27525.399999999998,23,627.4000000000001,35859,1777811.6900000013,84578,23229208.19
2024-25,2024,April,4,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2024-04-01,11430,7155781.890000001,814,3784190.55,1564,4960090.78,3429,2817729.07,9,515659.87,88,770469.53,21,48302.44,141,1169293.6199999999,236,42437.18,410,316611.88,26923,699518,1737,5835.07,277,27967,23,686.6999999999999,31154,1647812.3200000003,51056,23962385.900000006
