fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,fpi_fii_sa_no,fpi_fii_sa_amt,insurance_company_no,insurance_company_amt,mutual_funds_no,mutual_funds_amt,fdi_investments_no,fdi_investments_amt,foreign_depository_no,foreign_depository_amt,banks_no,banks_amt,financial_institutions_no,financial_institutions_amt,local_pension_funds_no,local_pension_funds_amt,foreign_venture_capital_investment_no,foreign_venture_capital_investment_amt,corporates_no,corporates_amt,portfolio_management_services_no,portfolio_management_services_amt,nris_no,nris_amt,global_depository_receipts_no,global_depository_receipts_amt,ocbs_no,ocbs_amt,others_no,others_amt,total_no,total_amt
2016-17,2016,October,10,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-10-01,8913,2577072.59,501,1355067.47,1804,1428008.27,1453,543686.94,63,262252.32,114,251785.32,29,74874.53,92,205014.12,185,36134.46,416,71577.36,6104,55457,413,2675.23,651,7272,23,2099.04,36172,435959.41,56933,7308936.060000001
2016-17,2016,November,11,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-11-01,8943,2409042.32,504,1336360.31,1833,1405581.97,1446,508329.3,63,249516.74,114,264701.84,29,70701.53,92,205582.73,186,37570.01,417,73026.43,6249,53144,410,2488.82,647,6681,22,1879.5,36301,430827.41,57256,7055433.91
2016-17,2016,December,12,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-12-01,8921,2348007.39,526,1327869.2,1818,1362710.58,1468,511807.13,63,249547.09,114,269034.08,29,71431.92,89,209488.68,187,34716.54,416,77924.68,5471,53848,403,2318.96,646,6598,22,1838.56,36426,440780.6599999999,56599,6967921.469999999
2016-17,2017,January,1,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-01-01,8885,2456716.1,527,1380708.83,1776,1467086.56,1483,536672.57,63,258848.18,113,282541.84,29,74311.11,96,216070.75,187,34075.54,414,78435.13,5564,58106,402,2475.52,646,6935,22,1979,36359,450411.02,56566,7305373.15
2016-17,2017,February,2,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-02-01,8897,2565379.67,664,1410303.18,1740,1489008.02,1495,550128.98,64,267907.59,115,291072.03,29,70315.66,96,220644.13,187,33921.04,426,77372.11,5633,61444,398,2680.08,646,7231,22,2055.73,36445,458211.38,56857,7507674.600000001
2016-17,2017,March,3,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-03-01,8956,2705728.63,766,1440522.64,1663,1536949.49,1532,591977.26,64,272829.5,115,303380.12,29,74173.72,96,227369.35,188,31695.23,434,73926.83,5824,64149,330,2848.76,650,7946,22,2174.72,4846,471092.52,25515,7806763.77
2017-18,2017,April,4,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-04-01,8884,2786082.84,774,1468849.17,1646,1664012.33,1541,587640.09,63,273675.52,110,307675.33,29,75704.04,115,228105.68,190,31661.53,436,76733.56,6010,67247,334,2943.76,650,8292,22,2187.25,4943,476159.31000000006,25747,8056969.409999998
2017-18,2017,May,5,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-05-01,8750,2856637.18,779,1479654.67,1634,1656901.77,1547,599259.55,63,287842.98,111,308179.86,29,79189.47,114,245604.48,189,31595.51,444,78055.55,6153,68984,331,2847.27,648,7236,22,2226.69,5100,481230.63000000006,25914,8185445.6099999985
2017-18,2017,June,6,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-06-01,8914,2882134.38,783,1482775.63,1553,1619245.82,1566,602120.93,63,284149.15,111,307084.3,29,77531.26,114,277223.42,190,31645.94,451,79201.02,6381,72558,332,2892.83,645,7274,22,2156.91,5375,489758.51,26529,8217752.1
2017-18,2017,July,7,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-07-01,8904,3055983.62,796,1521446.89,1534,1736264.59,1576,633314.97,63,299895.27,112,319683.44,29,72289.42,125,281285.38,190,31965.35,454,79600.14,6513,75929,334,2775.98,638,6802,22,2334.65,5575,500266.13,26865,8619836.83
2017-18,2017,August,8,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-08-01,8911,3035509.18,796,1511599.89,1484,1770949.6,1586,645182.92,64,291845.26,112,314547.68,29,71308.8,116,285730.54,189,31568.29,0,81218.76,6676,77234,340,2913.92,632,7071,22,2239.26,5764,504661.75,26721,8633580.9
2017-18,2017,September,9,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-09-01,8968,3003475.89,798,1494463.8,1491,1766677.28,1590,646487.21,64,291008.08,113,304365.71,29,69048.28,116,290770.5,189,31506.35,465,82485.86,6845,80489,347,2928.17,621,7117,22,2251.72,5955,511974.78,27613,8585049.63
2017-18,2017,October,10,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-10-01,9017,3170193.96,802,1578889.04,1438,1932655.3,1594,676379.05,64,301266.68,113,352178.88,29,71093.25,116,296165.26,189,32444.39,470,84055.14,6907,85951,353,3149.95,621,8389,22,2305.27,6094,524718.96,27829,9119835.129999999
2017-18,2017,November,11,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-11-01,9094,3188354.31,806,1580669.84,1445,1961697.37,1614,710208.7,64,300233.02,113,350639.79,29,101186.59,117,302793.64,190,32474.39,470,84101.07,7030,89490,371,3223.12,625,9817,22,2351.29,6251,535082.7899999999,28241,9252322.919999998
2017-18,2017,December,12,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-12-01,9171,3280283,812,1620139,1486,1942726,1621,754298,64,307076,113,356060,29,104507,116,309420,188,32266,456,84270,7260,93649,380,3414,622,8998,22,2401,6444,554773,28784,9454280
2017-18,2018,January,1,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-01-01,9201,3381677.3746428397,847,1643936.4416591052,1500,2037665.904119166,1623,750937.09336937,64,324583.285002429,113,382424.2366944434,29,110931.01000000001,116,321359.02352316503,189,32052.926744358996,460,85146.290793601,7443,94077.09355294626,385,3447.6899999999996,620,7067.954002761999,22,2516.7149999999997,6234,567469.5734429451,28846,9745291.6
2017-18,2018,February,2,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-02-01,9237,3241324.13,846,1604185.27,1534,2034677.37,1635,742388.06,64,308933.39,113,372474.99,28,111469.39,116,325900.67,189,31669.5,459,85718.6,7622,93511,401,3290.13,620,6795,23,2432.66,6804,564877.25,29691,9529647.41
2017-18,2018,March,3,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-03-01,9326,3148349.09,856,1578986.83,1541,1978171.26,1651,733301.51,64,295547.79,114,352781.54,27,109009.14,120,332925.09,188,31419.8,459,87064.84,7988,91970,415,3249.11,619,6271,23,2424.31,6973,564216.78,30364,9315688.09
2018-19,2018,April,4,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-04-01,9349,3319175.15,857,1642073.98,1515,2146009.67,1669,775454.44,64,308800.9,115,380738.39,27,118420.16,120,339999.29,191,31842.35,456,91500.63,8175,98016,427,3438.26,616,7803,23,2618.65,7092,583324.5199999999,30696,9849215.39
2018-19,2018,May,5,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-05-01,9333,3177684.6,857,1609844.18,1580,2111430.83,1672,770218.53,64,312863.48,115,381097.86,27,115740.77,120,344887.12,191,30730.46,464,88886.44,8325,96357,440,3333.06,617,7090,23,2668.31,7248,590287.58,31076,9643120.220000003
2018-19,2018,June,6,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-06-01,9347,3188252.07,859,1610770.98,1633,2072703.94,1690,766045.58,64,309592.13,116,349157.24,27,107443.48,120,352534.73,191,30493.26,468,88657.06,8553,92944,448,3260.74,613,6668,23,2634.02,7400,592601.9099999998,31552,9573759.14
2018-19,2018,July,7,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-07-01,9356,3334518.58,863,1673735.35,1647,2207950.97,1689,808673.55,64,322500.25,116,365212.58,25,64494.08,120,358241.89,191,30528.38,465,90761.83,8747,97085,459,3400.27,610,6494,23,2312.91,7335,598367.5,31710,9964277.14
2018-19,2018,August,8,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-08-01,9375,3431511.13,865,1723166.04,1671,2239800.17,1699,848766.12,64,339837.62,118,369399.71,25,70176.24,120,366199.32,193,31153.82,470,91898.59,9178,100401,478,3527.42,601,6424,23,2056.85,7485,612838.51,32365,10237156.540000001
2018-19,2018,September,9,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-09-01,9382,3138333.9,871,1640476.63,1671,2049229.85,1714,753575.56,64,324869.57,118,343971.63,25,65535.15,120,371562.34,193,31290.02,477,91616.4,9517,88273,485,3205.65,604,5939,23,1825.5,7320,596251.2200000002,32584,9505955.420000002
2018-19,2018,October,10,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-10-01,9408,2982324.31,823,1605831.42,1677,2074606.41,1722,755553.45,64,313508.23,119,355589.63,25,63074.5,120,378002.27,193,33329.9,479,90299.78,9809,90623,517,3110.65,605,5051,23,1797.3,7426,601406.1499999999,33010,9354108.000000002
2018-19,2018,November,11,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-11-01,9444,3108885.6,811,1637650.11,1682,2129233.69,1751,803953.65,64,326243.47,119,338536.09,25,65218.85,120,385062.23,197,33693.29,477,90699.5,9961,94171,517,3256.67,599,5035,24,1956.11,7475,617412.87,33266,9641008.129999999
2018-19,2018,December,12,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-12-01,9492,3138204.89,771,1655213.92,1713,2144981.42,1788,818430.91,64,325175.14,118,336972.02,25,65266.18,120,394058.22,196,36815.05,479,91237.86,10185,96530,518,3353.92,596,4417,24,1960.49,7587,637978.76,33676,9750595.780000001
2018-19,2019,January,1,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-01-01,9546,3090507.58,773,1651975.3,1736,2193231.58,1816,783831.11,64,329951.22,117,343035.26,25,68114.9,120,406735.15,197,36740.34,486,90119.86,10408,98033,530,3137.45,592,4161,24,1792.18,7745,647719.43,34179,9749085.36
2018-19,2019,February,2,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-02-01,9541,3089601.78,772,1649797.32,1760,2183721.59,1842,784803.12,64,325403.37,117,336197.18,25,57995.94,120,414257.96,198,37062.57,494,87835.79,10523,97908,536,3204.01,582,3783,24,1210.93,7857,653726.77,34455,9726509.329999998
2018-19,2019,March,3,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-03-01,9556,3342680.32,781,1732888.97,1755,2278220.41,1867,802859.99,64,354339.64,117,320444.7,25,60865.9,120,422316.79,201,37261.17,499,104563.22,10804,103937,547,3485.82,583,3951,24,1948.99,7631,683200.04,34574,10252963.96
2019-20,2019,April,4,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-04-01,9518,3355044.84,783,1738754.53,1739,2323169.13,1895,813049.09,64,354291.66,117,329869.38,25,61094.24,126,427419.72,201,37267.92,499,102763.88,11069,104026,554,3477.48,579,4057,24,1967.08,7648,687619.7799999999,34841,10343871.730000002
2019-20,2019,May,5,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-05-01,9549,3417678.6,785,1757181.69,1744,2368187.53,1898,839833.8,67,358022.45,115,325111.35,25,59591.12,126,436159.99,201,38274.45,501,104227.72,11370,111736,573,3551.21,568,4096,25,1973.24,7744,707231.87,35291,10532857.02
2019-20,2019,June,6,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-06-01,9565,3381729.83,785,1744290.15,1746,2271356.04,1906,847537.2,67,343823.18,118,324980.56,25,59166.56,126,399631.46,201,37723.99,501,105595.06,11711,111523,569,3528.42,587,20042,25,2753.37,7853,751893.22,35785,10405574.040000003
2019-20,2019,July,7,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-07-01,9517,3203385.02,785,1680369.24,1741,2225601.55,1929,811308.31,67,331005.25,120,340754.85,25,57069.69,120,410870.4,204,38611.8,502,96727.55,11970,107361,592,3278.96,577,19795,25,2732.81,7998,758235.3,36172,10087106.730000002
2019-20,2019,August,8,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-08-01,9543,3198328.59,785,1677060.57,1745,2209718.78,1950,849488.95,67,325272.15,119,347228.97,25,53923.72,117,415847.22,205,38954.53,504,95654.71,12176,107640,614,2914.19,573,20195,25,2767.33,8282,822124.1399999999,36730,10167118.850000001
2019-20,2019,September,9,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-09-01,9508,3291702.83,785,1728878.53,1704,2234055.76,1981,893642.4,67,339876.5,119,347264.25,25,55902.7,117,425824.11,204,39548.95,508,94593.48,12379,110999,629,2956.5,570,20250,25,2345.38,8466,857114.65,37087,10444955.04
2019-20,2019,October,10,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-10-01,9604,3410516.91,785,1783918.28,1704,2291999.42,1988,936241.29,67,339649.35,119,354703.28,25,54675.51,115,433899.09,205,39338.39,510,100318.28,12711,112709,638,3029.41,570,19758,25,2216.07,8682,872305.8200000001,37748,10755278.1
2019-20,2019,November,11,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-11-01,9622,3488850.26,785,1795327.58,1755,2300892.75,2002,948735.21,66,339846.88,119,353205.92,25,52168.05,115,441488.02,206,39512.86,535,95062.66,13159,113760,647,3255.13,570,19621,25,2324.53,9175,879627.8,38806,10873678.650000002
2019-20,2019,December,12,Table 56: Assets under the Custody of Custodians (Amt. in ₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-12-01,9692,3516470.76,784,1809732.14,1752,2291577.7,2029,971907.39,66,344430.76,119,347416.35,25,52162.91,115,451751.64,208,39643.48,543,101468.57,13986,114692,654,2946.15,577,19641,25,2259.71,9720,889096.74,40295,10955197.300000003
