fiscal_year,month,month_numeric,data_from_table,total_no_of_issues,total_amount_cr,ipos_ipos_mainboard_no_of_issues,ipos_ipos_mainboard_amount_cr,ipos_ipos_sme_platform_no_of_issues,ipos_ipos_sme_platform_amount_cr,ipos_total_no_of_issues,ipos_total_amount_cr,other_than_ipos_fpos_no_of_issues,other_than_ipos_fpos_amount_cr,other_than_ipos_rights_no_of_issues,other_than_ipos_rights_amount_cr,released_on,updated_on,data_source,data_url
2017-18,October,10,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),36,23129.258353799996,6,22675.481828999997,28,432.54779999999994,34,23108.029628999997,0,0,2,21.2287248,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,November,11,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),14,23715.031683,4,21205.371290399995,7,113.87720000000002,11,21319.248490399994,1,4.290000000008149,2,2391.4931926,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,December,12,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),20,2002.0843701000003,3,1224.3254304000002,14,223.66800000000003,17,1447.9934304000003,0,0,3,554.0909397,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,January,1,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),14,2140.0799346,3,1180.1899999999998,8,109.55799999999999,11,1289.7479999999998,0,0,3,850.3319346,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,February,2,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),21,2184.5640995000003,2,1917.2245070000004,18,258.38544,20,2175.6099470000004,0,0,1,8.9541525,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,March,3,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),24,26858.64179285,4,10000.938522,15,352.89219999999995,19,10353.830722,0,0,5,16504.811070850003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,April,4,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),14,341.03999999999996,0,0.0037999999999840384,12,191.3762,12,191.38,0,0,2,149.66,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,May,5,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),20,2224.88536,1,1844.0000000000002,19,380.88536,20,2224.88536,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,June,6,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),11,3151.706691,3,3016.1512909999997,8,135.5554,11,3151.706691,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,July,7,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),13,5056.6112162,2,3925.4561710000003,9,153.42314,11,4078.879311,0,0,2,977.7319052,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,August,8,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),11,1254.11,1,1131.1877,10,122.9223,11,1254.11,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,September,9,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),16,2416.25812,2,2107.02,14,309.23812,16,2416.25812,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,October,10,Table 1: Resource Mobilisation through Public and Rights Issues (Equity Issues),15,525.438,1,343.59,14,181.848,15,525.438,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
