fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,gross_purchases_rupees_crore,gross_sales_rupees_crore,net_investment_rupees_crore,net_investment_usd_mn,cumulative_net_investment_usd_mn
2015-16,2015,December,12,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-12-01,92441.8,100746.25,-8304.45,-1242.86,223943.06000000008
2015-16,2016,January,1,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-01-01,90880.32,99694.03,-8813.71,-1299.72,222643.34000000008
2015-16,2016,February,2,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-02-01,87635.58,101351.72,-13716.14,-2001.08,220642.2600000001
2015-16,2016,March,3,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-03-01,129784.07,110116.84,19667.23,2937.83,223580.09000000008
2016-17,2016,April,4,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-04-01,118609.29,103775.12,14834.17,2233.61,225813.70000000007
2016-17,2016,May,5,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-05-01,107126.34,108992.22,-1865.88,-275.58,225538.12000000008
2016-17,2016,June,6,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-06-01,117711.31,120218.67,-2507.36,-366.99,225171.1300000001
2016-17,2016,July,7,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-07-01,120284.37,100827.11,19457.26,2897.19,228068.3200000001
2016-17,2016,August,8,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-08-01,127521.77,121075.32,6446.45,964.08,229032.40000000008
2016-17,2016,September,9,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-09-01,146049.82,125817.21,20232.61,3038.58,232070.98000000007
2016-17,2016,October,10,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-10-01,98587.33,108893.55,-10306.22,-1543.29,230527.69000000006
2016-17,2016,November,11,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-11-01,130540.04,169936.11,-39396.07,-5786.02,224741.67000000007
2016-17,2016,December,12,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-12-01,111622.29,138733.75,-27111.46,-3988.84,220752.83000000007
2016-17,2017,January,1,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-01-01,97399.37,100895.16,-3495.79,-512.22,220240.61000000007
2016-17,2017,February,2,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-02-01,127384.11,111521.68,15862.43,2362.58,222603.19000000006
2016-17,2017,March,3,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-03-01,204191.66,147930.77,56260.89,8576.55,231179.74000000005
2017-18,2017,April,4,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-04-01,121630.47,98872.23,22758.24,3513.38,234693.12000000005
2017-18,2017,May,5,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-05-01,148177.26,121311.1,26866.16,4169.96,238863.08000000005
2017-18,2017,June,6,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-06-01,169484.3,140182.37,29301.93,4548.13,243411.21000000005
2017-18,2017,July,7,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-07-01,143879.89,119852.03,24027.86,3732.02,247143.23000000004
2017-18,2017,August,8,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-08-01,124845.86,122169.03,2676.83,426.59,247569.82000000004
2017-18,2017,September,9,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-09-01,127847.98,137891.36,-10043.38,-1532.75,246037.07000000004
2017-18,2017,October,10,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-10-01,145518.96,126399.87,19119.09,2933.47,248970.54000000004
2017-18,2017,November,11,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-11-01,162377.2,142119.01,20258.19,3118.18,252088.72000000003
2017-18,2017,December,12,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-12-01,141460.51,145004.29,-3543.78,-551.65,251537.07000000004
2017-18,2018,January,1,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-01-01,166295.67,144023.71,22271.96,3497.76,255034.83000000005
2017-18,2018,February,2,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-02-01,130331.79,142005.74,-11673.95,-1799.52,253235.31000000006
2017-18,2018,March,3,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-03-01,146509.65,143848.03,2661.62,410,253645.31000000006
2018-19,2018,April,4,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-04-01,134718.56,150280.04,-15561.48,-2352.68,251292.63000000006
2018-19,2018,May,5,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-05-01,127492.24,157267.82,-29775.58,-4409.97,246882.66000000006
2018-19,2018,June,6,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-06-01,145149.57,160944.54,-15794.97,-2322.18,244560.48000000007
2018-19,2018,July,7,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-07-01,128610.93,126346.99,2263.94,329.85,244890.33000000007
2018-19,2018,August,8,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-08-01,119546.48,114400.94,5145.54,762.47,245652.80000000008
2018-19,2018,September,9,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-09-01,131050.1,152084.64,-21034.54,-2906.71,242746.09000000008
2018-19,2018,October,10,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-10-01,134506.68,173412.36,-38905.68,-5281.19,237464.90000000008
2018-19,2018,November,11,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-11-01,128220.7,116625.64,11595.06,1609.5,239074.40000000008
2018-19,2018,December,12,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-12-01,129514.11,121624.92,7889.19,1129,240203.40000000008
2018-19,2019,January,1,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-01-01,122075.46,127631.68,-5556.22,-787,239416.40000000008
2018-19,2019,February,2,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-02-01,139703.34,127650.45,12052.89,1697.39,241113.7900000001
2018-19,2019,March,3,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-03-01,200221.55,151470.82,48750.73,7032.78,248146.5700000001
2019-20,2019,April,4,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-04-01,135799.91,119072.05,16727.86,2406.9,250553.4700000001
2019-20,2019,May,5,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-05-01,172501.85,161131.85,11370,1637.64,252191.1100000001
2019-20,2019,June,6,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-06-01,151533.03,138422.19,13110.84,1887.58,254078.6900000001
2019-20,2019,July,7,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-07-01,144200.42,147203.63,-3003.21,-433.57,253645.12000000008
2019-20,2019,August,8,Table 53: Trends in Foreign Portfolio Investment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2019-08-01,152516.21,158387.68,-5871.47,-850.45,252794.67000000007
