fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,category_i_equity,category_i_debt,category_i_debt_vrr,category_i_debt_far,category_i_mf_aifs,category_i_hybrid,category_i_total,category_ii_equity,category_ii_debt,category_ii_debt_vrr,category_ii_debt_far,category_ii_mf_aifs,category_ii_hybrid,category_ii_total,category_iii_equity,category_iii_debt,category_iii_debt_vrr,category_iii_hybrid,category_iii_total
2021-22,2021,August,8,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-08-01,4546045.600000002,211279.24999999997,69544.44999999998,,,27268.15999999999,4854137.460000003,242198.62999999995,52384,47091.39000000001,,,1893.17,343567.18999999994,0,0,0,0,0
2021-22,2021,September,9,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-09-01,4707597.02,222770.74,70023.98000000001,,,28059.32,5028451.0600000005,241069.18999999994,50806.26,47137.79,,,2017.43,341030.6699999999,0,0,0,0,0
2021-22,2021,October,10,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-10-01,4700960.300000001,219551.65000000005,74239.39999999998,,,28703.199999999997,5023454.550000002,234041.71,51621.579999999994,47301.67,,,2103.7,335068.66,0,0,0,0,0
2021-22,2021,November,11,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-11-01,4576300.139999998,218485.00000000003,77559.43000000001,,,28712.979999999996,4901057.549999998,219887.87999999995,50718.13,48231.98,,,2100.78,320938.76999999996,0,0,0,0,0
2021-22,2021,December,12,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2021-12-01,4629559.58,208433.55000000008,76945.84000000001,,,28225.49,4943164.46,225167.89999999997,49961.83000000001,50291.47,,,2116.9,327538.1,0,0,0,0,0
2021-22,2022,January,1,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-01-01,4566381,212548,76284,,,31334,4886547,222843,49819,49916,,,2150,324728,0,0,0,0,0
2021-22,2022,February,2,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-02-01,4343071,210301,74995,,,31633,4660000,209900,50038,51087,,,1873,312898,0,0,0,0,0
2021-22,2022,March,3,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-03-01,4454066,203303,69859,,,31384,4758612,234272,50145,49509,,,2211,336137,0,0,0,0,0
2022-23,2022,April,4,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-04-01,4419123,199221,69304,,,32156,4719804,245225,51271,53435,,,2284,352215,0,0,0,0,0
2022-23,2022,May,5,Table 57: FPI/FII AUC category wise data,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2022-05-01,4183405,197624,71122,,,31595,4483746,226665,47206,61138,,,2241,337250,0,0,0,0,0
