fiscal_year,city,data_from_table,released_on,updated_on,data_source,data_url,direct_plan_gross_inflows_inr_crore,direct_plan_net_inflows_inr_crore,regular_plan_gross_inflows_inr_crore,regular_plan_net_inflows_inr_crore
2022-23,Surat,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,5269.691379817411,712.0962826264366,6689.2916419866615,1383.4807185457753
2023-24,Surat,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,7270.582480070526,974.1113350455045,9536.641599336524,2754.1628508241215
2024-25,Surat,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,15346.015865646861,928.1655718623769,11985.344773338751,4425.209943911413
2022-23,Kanpur,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,6363.463922360452,383.9141584304297,4765.348168839934,597.0958348362078
2023-24,Kanpur,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,5709.397513252763,866.5467567265055,5814.1262610715,446.3122686197355
2024-25,Kanpur,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,6875.287947383677,1177.9645306715865,7208.240946473982,1815.8266340194286
2022-23,Panaji,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1651.5932619928853,71.88722767262072,1528.6992675229133,221.89113693974093
2023-24,Panaji,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1331.8551612308697,632.276228765631,2318.708340644218,-288.06033731460036
2024-25,Panaji,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1979.1264686090851,119.19912898030185,2804.0205352902976,-40.256937186817524
2022-23,Lucknow,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,2925.125605397753,547.9772569632926,5814.239770447257,1490.9733652548643
2023-24,Lucknow,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,2618.5935394749536,1189.0529772267441,7236.902785557948,1543.491727052375
2024-25,Lucknow,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,4915.914566019055,1938.909626493039,9697.27301125726,3288.57752553729
2022-23,Chandigarh,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,2575.5237598632916,143.94057761301124,3866.3966259981385,377.4212104081207
2023-24,Chandigarh,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,3973.761253413179,658.1681546639242,4789.501054443787,514.4327163003422
2024-25,Chandigarh,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,5067.115239137066,719.6298352357121,6406.738836386539,1223.8246742340318
2022-23,Other Cities,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,662675.6079824591,25971.72779847222,292906.2107504742,62142.28086762334
2023-24,Other Cities,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,782065.7462652045,43794.60674512119,439013.0014874324,86913.33564032475
2024-25,Other Cities,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,1086761.9794647025,115999.78069303372,617144.264424904,195766.1917726528
2022-23,Total,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,8263278.206760606,-16814.07523225416,2244078.878026922,93039.51198287371
2023-24,Total,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,8973361.327713287,181246.86545386963,2474853.455478645,173454.4531123658
2024-25,Total,Table 62 Resource Mobilised by Mutual Funds under Direct and Regular Plans (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,10929788.347215794,450959.34364507237,2773562.599521705,364156.0803988046
