fiscal_year,data_from_table,depository,debt_listed_no.of_issuers_debt,debt_listed_no.of_active_instruments,debt_listed_demat_quantity_lakh,debt_listed_demat_value_rs_crore,debt_listed_quantity_settled_during_the_year_lakh,debt_listed_value_settled_during_the_year_rs_crore,debt_unlisted_no.of_issuers_debt,debt_unlisted_no.of_active_instruments,debt_unlisted_demat_quantity_lakh,debt_unlisted_demat_value_rs_crore,debt_unlisted_quantity_settled_during_the_year_lakh,debt_unlisted_value_settled_during_the_year_rs_crore,equity_listed_no.of_companies,equity_listed_no.of_active_instruments,equity_listed_demat_quantity_lakh,equity_listed_demat_value_rs_crore,equity_listed_quantity_settled_during_the_year_lakh,equity_listed_value_settled_during_the_year_rs_crore,equity_unlisted_no.of_companies,equity_unlisted_no.of_active_instruments,equity_unlisted_demat_quantity_lakh,equity_unlisted_demat_value_rs_crore,equity_unlisted_quantity_settled_during_the_year_lakh,equity_unlisted_value_settled_during_the_year_rs_crore,others_listed_no.of_issuers,others_listed_no.of_active_instruments,others_listed_demat_quantity_lakh,others_listed_demat_value_rs_crore,others_listed_quantity_settled_during_the_year_lakh,others_listed_value_settled_during_the_year_rs_crore,others_unlisted_no.of_issuers,others_unlisted_no.of_active_instruments,others_unlisted_demat_quantity_lakh,others_unlisted_demat_value_rs_crore,others_unlisted_quantity_settled_during_the_year_lakh,others_unlisted_value_settled_during_the_year_rs_crore,total_listed_no.of_issuers_of_debt_companies_equity,total_listed_no.of_active_instruments,total_listed_demat_quantity_lakh,total_listed_demat_value_rs_crore,total_listed_quantity_settled_during_the_year_lakh,total_listed_value_settled_during_the_year_rs_crore,total_unlisted_no.of_issuers_of_debt_companies_equity,total_unlisted_no.of_active_instruments,total_unlisted_demat_quantity_lakh,total_unlisted_demat_value_rs_crore,total_unlisted_quantity_settled_during_the_year_lakh,total_unlisted_value_settled_during_the_year_rs_crore,released_on,updated_on,data_source,data_url
2023-24,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,682,6983,3959.00852,78635.8264,624.2667200000001,4265.4022354,777,7174,189782.63532,67312.3866,0,0,6245,6425,3293352.89601,5121423.6572,4091362.30182,4023414.4982481003,13686,14146,2203708.15831,172720.8194,0,0,2410,20894,490770.5741291,298145.6186,421650.9050520001,313165.05451760005,1507,8399,238970.5210682,41410.8826,0,0,9337,34302,3788082.4786591,5498205.1022,4513637.473592,4340844.9550011,15970,29719,2632461.3146981997,281444.0886,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 51: Instrument-wise Dematerialisation Statistics,CDSL,691,7203,5420.34381,80728.4942,725.35702,4357.2499294,955,8292,209072.09994,81939.4885,0,0,6657,6860,4162846.06953,6113470.5903,4351107.02817,5311259.193876,25187,25724,2737412.17765,214607.1251,0,0,2814,22985,763682.5147648,463352.7837,864186.2125499999,574608.2535038,2779,27372,481455.5899636,98303.3971,0,0,10162,37048,4931948.9281048,6657551.8682,5216018.59769,5890224.6973209,28921,61388,3427939.8675536,394850.01070000004,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,Table 51: Instrument-wise Dematerialisation Statistics,NSDL,509,7163,1292.77928,1217067.2646493872,631.98703,1803206.4057684,526,3862,115157.78593,260605.01483006598,21282.08899,402250.39903970005,5668,11285,3528161.18367,6286296.911058468,658747.43393,1339801.8781594944,5164,5545,3477174.20348,333594.915951441,38.37881,22.721325846000003,60,5401,280627.97392655996,29625.373052952636,9695.4947607,7892.689398195,1851,19469,552620.4227974389,812686.7153118352,3107.8799659799984,1637.8788273479995,6237,23849,3810081.93687656,7532989.548760808,677742.6136006999,3150900.97332609,7541,28876,4144952.4122074386,1406886.646093342,24428.347765979997,403910.9991928941,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 51: Instrument-wise Dematerialisation Statistics,NSDL,626,9283,14950.5182,1552800.162812371,5245.421359999999,2242714.9222875,665,3611,206648.9537,209225.59704898295,45256.280159999995,189963.3900084,5943,11917,3847518.59542,8687942.217589077,994044.3891900001,2069409.2509347312,6270,6686,4270972.33314,403655.662794904,46.57347,48.212209824000006,53,5405,249148.08609037995,33439.42764925209,73414.15947624,9795.831433836001,2404,22971,684331.9010805702,861251.7258175823,3516.140481310002,1652.8585910410004,6622,26605,4111617.19971038,10274181.8080507,1072703.97002624,4321920.004656067,9339,33268,5161953.18792057,1474132.9856614694,48818.99411131,191664.460809265,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 51: Instrument-wise Dematerialisation Statistics,NSDL,695,10683,98465,1783678,214212.4153,2252327.2306212997,886,4217,190453,245652,63214.56167,193940.44768689998,6159,12303,4145739,8204011,904608.85816,2009725.1024991772,7322,7798,5167624,488684,132.66128,153.33878566200002,57,7040,284180,40633,70343.36452102,16082.226253687999,2843,25132,1115630,953009,5404.0589495899985,1091.9138376180003,6911,30026,4528383,10028322,4278134.559374165,1189163.6379810201,11051,37147,6473707,1687345,68748.72189958999,195184.96031018003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 51: Instrument-wise Dematerialisation Statistics,NSDL,762,12140,105797.8797,2135050.1783900796,65751.78284999999,3276629.2381328996,1180,4637,235037.69919,326500.85635426623,26123.73548,378436.277213,6301,12626,4515531.81023,10429664.748009877,1073661.7077100002,2579123.619793798,8964,9474,5994299.0627,570655.42237735,744.3903300000002,862.6098772350002,61,7352,162399.9821686601,61528.23442777904,13997.76692645,18228.204565592998,3430,28842,2163187.1851909007,1125296.6906783436,9042.248562170002,1951.8177803209996,7124,32118,4783729.672098661,12626243.160827737,5410073.432281438,1069698.22665517,13574,42953,8392523.9470809,2022452.9694099599,35693.845809930004,397182.74031211704,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 51: Instrument-wise Dematerialisation Statistics,NSDL,793,11885,111716.51008,2446755.7433788087,60818.850999999995,4211858.610937701,1445,5406,376019.21185,441370.1720836457,37787.643430000004,367224.0371569,5916,11894,4981227.59363,12269186.77779074,1287452.97635,3198619.251198336,11022,11553,6706405.6604,639023.6147072891,544.7273299999999,2206.7570107700003,57,6376,223370.74158256984,109591.65002083273,34069.78739375,29743.553944938,3839,30849,2664652.5511473645,1314239.8927693358,21757.564383939996,4547.863260244998,6766,30155,5316314.84529257,14825534.171190381,7440221.416080974,1382341.6147437503,16306,47808,9747077.423397364,2394633.6795602706,60089.935143940005,373978.65742791496,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 51: Instrument-wise Dematerialisation Statistics,NSDL,711,10737,115278.05569,2597244.3736317423,135839.4915,4664337.321012,1835,6343,476051.60114,537007.0785015182,61224.2683,400337.3435864,6150,12494,5315645.5826,13113009.983829463,1171653.0746700002,3116227.840389323,15816,16485,8545472.85828,869500.7411892859,293.72006,580.4229761999999,69,8480,289901.5997191201,184761.1925690378,34114.78695528,29823.376725946,4563,32583,3931725.880684806,1378849.0455600002,14841.14160948001,2907.024044577,6930,31711,5720825.23800912,15895015.550030243,7810388.538127269,1341607.35312528,22214,55411,12953250.340104805,2785356.8652508045,76359.12996948001,403824.79060717695,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 51: Instrument-wise Dematerialisation Statistics,NSDL,717,10568,115001.10016,2616898.7492515,156800.82530000003,3656397.7656684,1848,6293,469550.03791,492034.5694319543,107267.14105,234182.7411514,6168,12532,5317095.80982,13188179.846127715,1335568.99418,3308113.0012880145,16302,16984,8611035.27912,877736.3484502534,155.47782999999998,135.16963366000002,74,8466,283613.7911375301,206812.459072508,40735.50168031,30743.640563149995,4725,33024,4183774.458492807,1464924.4877711206,17683.161164309997,4739.121483903001,6959,31566,5715710.70111753,16011891.054451723,1533105.3211603102,6995254.407519564,22875,56301,13264359.775522806,2834695.4056533286,125105.78004430998,239057.03226896303,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 51: Instrument-wise Dematerialisation Statistics,NSDL,881,9384,113655.70034,3114382.35539856,19362.25472,1619750.4979324,2311,8970,1392845.9699,591821.604734146,116148.87575,148484.8548662,5681,11546,5729681.0971,17891666.1534578,1856489.0583499998,4322164.020899976,24910,26657,11506585.04573,1099119.64606229,257.32804,129.84691940899998,245,4731,327656.90518648,605903.194522747,32192.458272670003,36069.994674853995,5388,27547,5264720.4230062,1071631.05665106,10449.518690380006,8353.517538509002,6807,25661,6170993.70262648,21611951.7033791,1908043.77134267,5977984.513507229,32609,63174,18164151.4386362,2762572.3074475,126855.57881038002,156968.21932411802,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 51: Instrument-wise Dematerialisation Statistics,NSDL,883,8837,110128.83677,3171637.7011358654,24030.61653,1966858.9302437003,2645,10637,2341646.36974,760928.9767167981,156319.90650000004,83479.07581139999,5846,12008,6019117.82397,22938891.622809738,2095761.4697,5270469.06602189,27920,29763,14219572.84246,1354498.407161327,0,0,250,3683,346028.89607409004,738745.4176113461,37286.73387759,52820.891988042,5551,29966,4698773.374831205,1222853.7173163248,7699.65064746,6738.431323821002,6979,24528,6475275.55681409,26849274.74155695,2157078.8201075904,7290148.888253633,36116,70366,21259992.587031208,3338281.10119445,164019.55714746,90217.50713522098,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 51: Instrument-wise Dematerialisation Statistics,NSDL,874,8680,102719.87723,3279158.188365962,17098.43459,1683394.7052152,2972,12490,2366359.21414,935305.7143147435,36295.11201,199467.760438,5843,12212,6805880.03835,22261190.595970742,1689185.6137600003,4960292.41996866,31245,33261,16305212.77406,1484026.3776604563,0,0,186,2374,353533.54526384955,768247.537900084,39741.82766973,67594.664061337,6140,31915,6309604.438907718,1490961.1794805038,9155.772598210002,2816.729078193,6903,23266,7262133.460843849,26986297.349075783,6888171.08263164,7529418.3238018565,40357,77666,24981176.42710772,3910293.271455704,45450.88460821,202284.489516193,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 51: Instrument-wise Dematerialisation Statistics,NSDL,826,8418,102177.02867,3174046.708511797,10091.64429,1282440.8410125,3392,15518,2734264.50099,1414288.977700346,86814.50492,394172.6827218,5945,6173,7191704.33763,32831975.857470494,2564959.2225499996,7659008.625669329,35416,44131,17668268.34659,1627619.3998359542,1200.8774199999998,16432.46773238,382,2676,883892.0417236487,1115657.45574067,65824.20627128001,101160.549560811,7148,51155,9131849.731385497,2180599.2135014283,6350.291066929999,4095.2272285629997,7153,17267,8177773.408023649,37121680.021722965,2640876.00672128,9042609.90013684,45956,110804,29534382.578965496,5222507.591037729,94363.62356693,414699.50352847204,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 51: Instrument-wise Dematerialisation Statistics,NSDL,815,8916,99159.73188,3652488.1466720146,5766.90419,1166593.7599473,4120,18166,3638010.13242,1567018.9626355628,103316.74154000002,355096.08751350007,6290,6547,8522991.24019,35207810.71711448,2828060.2676999997,10322238.397148384,68223,77360,21624722.44513,1936757.6370587363,11095.940160000002,30622.429788070003,423,2735,1375002.508823979,1299930.2670627926,149705.33076238,206682.43439319704,8903,71255,12327039.585501265,2599728.631508795,8606.92142378,3826.370226876,7528,18198,9997153.480893979,40160229.13084929,2983533.5460290597,11695517.046276448,81246,166781,37589772.16305126,6103505.231203094,123021.67990558,389547.978451398,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
