fiscal_year,year,month,month_numeric,data_from_table,nsdl_number_of_companies_signed_up_to_make_their_shares_available_for_dematerialization,nsdl_number_of_depository_participants_registered,nsdl_number_of_clearing_corporations_connected,nsdl_number_of_investors_accounts_lakh,nsdl_quantity_of_shares_dematerialized_crore,nsdl_value_of_shares_dematerialized_rs_crore,nsdl_quantity_of_securities_dematerialized_crore,nsdl_value_of_securities_dematerialized_rs_crore,nsdl_quantity_of_shares_settled_during_the_month_crore,nsdl_value_of_shares_settled_during_the_month_in_dematerialized_form_rs_crore,nsdl_the_ratio_of_dematerialized_equity_shares_to_the_total_outstanding_shares_market_value_per_cent,cdsl_number_of_companies_signed_up_to_make_their_shares_available_for_dematerialization,cdsl_number_of_depository_participants_registered,cdsl_number_of_clearing_corporations_connected,cdsl_number_of_investors_accounts_lakh,cdsl_quantity_of_shares_dematerialized_crore,cdsl_value_of_shares_dematerialized_rs_crore,cdsl_quantity_of_securities_dematerialized_crore,cdsl_value_of_securities_dematerialized_rs_crore,cdsl_quantity_of_shares_settled_during_the_month_crore,cdsl_value_of_shares_settled_during_the_month_in_dematerialized_form_rs_crore,cdsl_the_ratio_of_dematerialized_equity_shares_to_the_total_outstanding_shares_market_value_per_cent,released_on,updated_on,data_source,data_url
2013-14,2013,April,4,Table 49: Dematerialisation Statistics of Listed Companies,5510,282,8,127.28104,34411.4820918,5493861.860542052,35167.473802239394,6649589.693978596,506.1065381,99447.42889016551,82.18,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,May,5,Table 49: Dematerialisation Statistics of Listed Companies,5525,281,8,127.66313,34609.534838299995,5541700.008436934,35326.6030397059,6718902.641924879,567.8560132,116843.41419428155,82.33,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,June,6,Table 49: Dematerialisation Statistics of Listed Companies,5532,282,8,127.97777,34492.055003999994,5340040.507479885,35148.2568541901,6532618.402592111,524.0607207,109683.27836517146,82.56,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,July,7,Table 49: Dematerialisation Statistics of Listed Companies,5539,281,8,128.42056,34601.1564404,5151726.865389854,35243.6899898467,6351818.168125615,569.9202083,121133.55445110645,83.02,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,August,8,Table 49: Dematerialisation Statistics of Listed Companies,5558,281,8,128.6373,34850.968907,5090498.223016732,35479.525875719,6274067.980382945,571.5484874,121665.63167294722,83.67977745378843,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,September,9,Table 49: Dematerialisation Statistics of Listed Companies,5572,280,8,129.1934,34826.6018649,5344143.488378303,35571.1356995503,6541143.737293545,582.5314054,122287.1557206539,83.4451407568574,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,October,10,Table 49: Dematerialisation Statistics of Listed Companies,5588,281,8,129.65,35063.309066,5772796.368880153,35806.3638061686,6982106.7794040255,517.6215399,95676.72874696115,83.51112507675836,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,November,11,Table 49: Dematerialisation Statistics of Listed Companies,5599,280,8,130.04661,35024,5735749,35772,6944869,506.8472804,97363.38608705644,83.53061276236446,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2013,December,12,Table 49: Dematerialisation Statistics of Listed Companies,5612,280,8,130.55284,35064.7037114,5972649.921769049,35845.142984843296,7188519.957757557,586.232873,110959.14950002922,84.06690961140441,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2014,January,1,Table 49: Dematerialisation Statistics of Listed Companies,5629,279,8,131.0662,35166,5734506,35968,6954997,578.7764418,116920.11925941435,84.25181194132108,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2014,February,2,Table 49: Dematerialisation Statistics of Listed Companies,5639,279,8,130.67581,35221.4562621,5870023.225639239,36068.5456079276,7103683.4452607,433.4394121,89217.03260754608,84.28,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2013-14,2014,March,3,Table 49: Dematerialisation Statistics of Listed Companies,5668,278,8,130.57377,35281.6118367,6286296.911058468,38100.8193687656,7532989.548760808,642.533419,138604.99866416142,83.78266916626157,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2014,April,4,Table 49: Dematerialisation Statistics of Listed Companies,5683,278,8,130.77117,35422.9032725,6340626.738941711,38268.4922611849,7596743.998095049,663.2157196,138137.2450870883,83.5661166124928,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2014,May,5,Table 49: Dematerialisation Statistics of Listed Companies,5700,277,8,131.16821,35514.7944913,7089248.509260372,38360.4764096199,8336835.3314887425,1015.316442,192628.214195987,83.3479336076767,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2014,June,6,Table 49: Dematerialisation Statistics of Listed Companies,5717,277,8,131.80408,35657.1954386,7599685.210329105,38522.9554500456,8853591.120002545,1095.0715012,204730.90724157577,83.31242705890564,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2014,July,7,Table 49: Dematerialisation Statistics of Listed Companies,5743,275,8,132.38784,36137.0943045,7617264.797690003,38983.41581097,8881024.422285367,851.8513639,164007.01525492102,83.50513725789449,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2014,August,8,Table 49: Dematerialisation Statistics of Listed Companies,5762,274,6,133.03386,36187.560010299996,7818479.116572994,39016.871846680704,9103359.167946883,851.8513639,139968.76506257115,83.67706038040184,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2014,September,9,Table 49: Dematerialisation Statistics of Listed Companies,5785,273,6,133.87396,36421,7924874.839998088,39252.4907584515,9197481.259310124,929.2157715,181634.68486032932,83.6600397802022,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2014,October,10,Table 49: Dematerialisation Statistics of Listed Companies,5804,273,6,134.61,36648,8217725,39561,9635697,623.7068875,123558.65923651506,83.89543215410707,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2014,November,11,Table 49: Dematerialisation Statistics of Listed Companies,5825,273,6,135.47426,37011.5555235,8454079.540340353,39923.4879703682,9889403.501653107,734.9051598,161342.3575707366,84.1134103959513,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2014,December,12,Table 49: Dematerialisation Statistics of Listed Companies,5855,272,5,136.33973,37649,8335168,40584,9805414,828.2203455,178179.74218769567,84.10841727693695,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2015,January,1,Table 49: Dematerialisation Statistics of Listed Companies,5898,273,5,136.97744,38007.8920442,8797165.64013237,40979.102224296694,10330709.978001738,756.1785328,169106.26236498382,85.724,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2015,February,2,Table 49: Dematerialisation Statistics of Listed Companies,5914,273,4,137.70639,38157.7608245,8944474.985126985,41100.6736885148,10502492.892361866,808.5436109,196430.98776492933,84.91973727548778,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2015,March,3,Table 49: Dematerialisation Statistics of Listed Companies,5943,273,4,137.08445,38475.1859542,8687942.217589077,41116.1719971038,10274181.8080507,939.055966,219684.40767813497,85.00334915178897,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,April,4,Table 49: Dematerialisation Statistics of Listed Companies,5968,273,4,137.62463,38882.8414641,8444552.649631884,41509.4023828868,10057593.69638744,704.2546926,189386.89063369497,84.72723491063937,6202,574,8,96.83,11612.62,1264563.83,12180.88,1315274.728335996,473.7968347,38267.30334217,13.38,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,May,5,Table 49: Dematerialisation Statistics of Listed Companies,5982,273,4,138.22678,39092.7305501,8728898.805814415,41704.7057100041,10335494.849603929,659.1698899,169611.44295346798,84.55936223093558,6218,574,8,97.6,11650.08,1332508.03,12224.77,1381475.6560614617,424.85317490000006,33906.348882647,13.6,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,June,6,Table 49: Dematerialisation Statistics of Listed Companies,5994,271,4,138.958,39209.421988400005,8590414.239092382,41819.5418037388,10216568.448710252,769.8954968,191060.2659842468,84.76032147914155,6233,573,8,98.37,11767.46,1285253.43,12354.76,1335704.5148874985,438.8145835000001,35872.80316319699,13.52,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,July,7,Table 49: Dematerialisation Statistics of Listed Companies,6005,270,4,139.47307,39557.4237773,8880761.935249113,42978.2535612015,10526296.097698,788.2362366,170019.37782641817,84.95986738275317,6250,574,8,99.25,11849.35,1307949.52,12443.3,1357589.9756056783,654.0292632000002,51458.46599349699,12.69,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,August,8,Table 49: Dematerialisation Statistics of Listed Companies,6030,269,4,140.29417,39687.5178879,8362977.643337572,43101.277633100406,10052383.573764293,961.3877362,207418.7297130714,85.2317733960677,6282,576,8,100.16,11892.19,1193960.16,12494.09,1244764.2786146621,707.6550575999999,50328.962365750995,12.912384038562,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,September,9,Table 49: Dematerialisation Statistics of Listed Companies,6049,270,4,141.06428,39923.6530989,8343348.818705535,43354.291237280304,10046505.963628003,679.7125991,157241.3236678229,85.34553164547862,6299,578,8,101.15,11962.79,1177490.51,12575.15,1228809.1823366156,369.51330320000005,32440.539809423,12.86,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,October,10,Table 49: Dematerialisation Statistics of Listed Companies,6086,269,4,141.78809,40110,8461919,43625.4711651282,10197803,679.15,158252.39566210075,85.1527149900266,6312,578,8,102.16,12129.38,1226000.24,12680.56,1277086.2782019502,491.64622629999997,39954.255602779995,13.05,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,November,11,Table 49: Dematerialisation Statistics of Listed Companies,6093,271,4,142.1,40638,8481749,44226,10234576,653.23,138338,85.13,6321,577,8,102.94,12203.25,1230011.11,12708.18,1280968.9642827178,448.0238621,38718.283038181995,13.03,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2015,December,12,Table 49: Dematerialisation Statistics of Listed Companies,6101,272,4,142.98,40852,8629130,44576,10381120,818.54,157130,85.38,6331,578,8,104.19,12234.86,1241587.47,12673.47,1292527.6773555456,689.8890272000001,51317.379002559996,12.97,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,January,1,Table 49: Dematerialisation Statistics of Listed Companies,6114,272,4,143.86,40911,8119810,44670,9900657,807.23,147639,85.59,6344,580,3,105.4,12358.73,1129267.71,12813.69,1182781.6283130401,636.1116677000001,39849.893922762014,12.6619317069307,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,February,2,Table 49: Dematerialisation Statistics of Listed Companies,6139,272,4,144.83,41103,7448483,44924,9242455,790.2,154667,85.5,6367,581,3,106.7,12320.58,1042477.59,12786.18,1095822.7889838407,440.0706501,31970.828856032997,12.7979411332418,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,March,3,Table 49: Dematerialisation Statistics of Listed Companies,6159,270,4,145.66,41457,8204011,45284,10028322,735.09,168961,85.42,6385,583,3,107.9,12367.63,1158717.31,12936.17,1219306.787726394,449.753223,38270.25548421401,12.82,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,April,4,Table 49: Dematerialisation Statistics of Listed Companies,6181,270,4,146.16196,41576.5083392,8406711.8211143,43728.2470328229,10249312.716039307,743.1428151,148120.395649107,85.56229572497531,6402,583,3,108.9,12413.02,1180578.23,12844.76,1238786.5873387211,402.8850652,35640.209718852006,12.82,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,May,5,Table 49: Dematerialisation Statistics of Listed Companies,6194,269,4,146.76023,41599.5010396,8593824.49002534,43760.1326950223,10463517.36947303,751.03147,167187.1466579333,85.76909363150102,6416,581,3,109.77,12509.04,1184643.55,12954.72,1244702.6120637786,447.7634238,41418.427020068004,12.54,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,June,6,Table 49: Dematerialisation Statistics of Listed Companies,6210,268,4,147.69804,42284.1019521,8897211.08459868,44462.1226661863,10782612.04709071,809.2013007,176241.20009023606,85.60296831288439,6428,580,3,112.24276,12617.31,1241751.66,13083.97,1302574.1668205434,538.3615739999999,47381.12313515799,12.66,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,July,7,Table 49: Dematerialisation Statistics of Listed Companies,6198,267,4,148.36916,42855.047285,9403513.201491518,45059.1520471995,11308837.193277594,894.7099303,204111.66366445512,85.63054350972989,6428,582,3,112.28063,12670.47,1300448.78,13157.64,1363427.247210486,651.0404646999999,56525.169856388995,12.72,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2016,August,8,Table 49: Dematerialisation Statistics of Listed Companies,6213,268,4,149.29313,42946.0308344,9552292.959995676,45130.38833574641,11480670.99295886,864.4092276,210508.34207001328,85.39629096673198,6434,583,3,113.4532,12735.41,1346607.18,13243.96,1410986.4836604453,599.3665011,58731.202356154994,12.9445400436885,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
