fiscal_year,stock_exchange,proprietorship,partnership,corporate,limited_liability_partnership_llp,total,data_from_table,released_on,updated_on,data_source,data_url
2017-18,Coimbatore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Coimbatore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Coimbatore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Coimbatore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Coimbatore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Coimbatore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Coimbatore,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Coimbatore,0,0,0,,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Delhi,179,30,264,0,473,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Delhi,179,30,259,0,468,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Delhi,178,30,258,0,466,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Delhi,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Delhi,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Delhi,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Delhi,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2020-21,Delhi,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2021-22,Delhi,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022-23,Delhi,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023-24,Delhi,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024-25,Delhi,0,0,0,,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2013-14,Gauhati,33,1,2,0,36,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2014-15,Gauhati,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2015-16,Gauhati,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2016-17,Gauhati,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2017-18,Gauhati,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2018-19,Gauhati,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2019-20,Gauhati,0,0,0,0,0,Table 75: Stock Brokers on the Basis of Ownership in Equity Cash Segment,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
