fiscal_year,month,month_numeric,data_from_table,equity_public_issues_no_of_issues,equity_public_issues_amount_cr,equity_qip_preferential_no_of_issues,equity_qip_preferential_amount_cr,debt_public_issues_no_of_issues,debt_public_issues_amount_cr,debt_private_placement_no_of_issues,debt_private_placement_amount_cr,reits_invits_no_of_issues,reits_invits_amount_cr,total_funds_mobilized_no_of_issues,total_funds_mobilized_amount_cr,released_on,updated_on,data_source,data_url
2015-16,February,2,Table 12: Funds Mobilised by all Instruments,11,1473.6799985,29,1659.511280802,3,5211.38,259,33810.37,,,302,42154.941279302,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,March,3,Table 12: Funds Mobilised by all Instruments,5,682.49,36,2328.474203557,3,7738.5,266,43449.74,,,310,54199.204203557,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,April,4,Table 12: Funds Mobilised by all Instruments,12,2934.4999929999994,49,3930.453601538,0,0,314,41078.76,,,375,47943.713594538,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,May,5,Table 12: Funds Mobilised by all Instruments,9,2569.4399283000002,65,5480.4308381360015,3,899.38,272,59801.13,,,349,68750.38076643599,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,June,6,Table 12: Funds Mobilised by all Instruments,4,124.75507662499999,34,2070.415327491,1,1000,307,33575.87,,,346,36771.040404116,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,July,7,Table 12: Funds Mobilised by all Instruments,9,2712.45,38,1850.2195884719995,1,500,303,36774.25,,,351,41836.919588471996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,August,8,Table 12: Funds Mobilised by all Instruments,5,2529.0008000000003,21,592.8484880789999,2,14000,375,71165.3,,,403,88287.149288079,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,September,9,Table 12: Funds Mobilised by all Instruments,14,7205.2087272,20,7674.3315450889995,3,7493.15,298,67952.17,,,335,90324.86027228899,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,October,10,Table 12: Funds Mobilised by all Instruments,21,1697.4782052,34,7344.194193656998,0,0,275,70395.56,,,330,79437.232398857,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,November,11,Table 12: Funds Mobilised by all Instruments,3,4125.436,22,2496.6321305090005,0,0,221,38644.64,,,246,45266.708130508996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,December,12,Table 12: Funds Mobilised by all Instruments,7,2538.929594,36,3200.7136654490005,0,0,297,59586.58,,,340,65326.223259449005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,January,1,Table 12: Funds Mobilised by all Instruments,4,50.108000000000004,36,9037.427273918998,3,3768.15,183,45957.22,,,226,58812.905273919,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,February,2,Table 12: Funds Mobilised by all Instruments,7,1398.46509285,28,1271.7522880599997,2,1666.96,230,30151,,,267,34488.17738091,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,March,3,Table 12: Funds Mobilised by all Instruments,23,4597.5969547,46,7749.808557356002,1,219.51,302,85633.03,,,372,98199.945512056,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,April,4,Table 12: Funds Mobilised by all Instruments,16,721.9487350000002,44,7044.478900636,2,2188.23,301,63818.73,0,0,363,73773.387635636,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,May,5,Table 12: Funds Mobilised by all Instruments,13,2654.7131235999996,54,9678.734564543,0,0,301,33388.87,2,7282.84,370,53005.157688142994,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,June,6,Table 12: Funds Mobilised by all Instruments,7,3087.4325324,43,19835.459223997,0,0,370,75337.32,0,0,420,98260.21175639701,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,July,7,Table 12: Funds Mobilised by all Instruments,15,2637.903317399999,32,3335.400162784,2,1712.52,162,49033.15,0,0,211,56718.973480184,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,August,8,Table 12: Funds Mobilised by all Instruments,14,2550.2119060000005,32,6370.994130294999,1,214.62,155,51552.13,0,0,202,60687.956036295,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,September,9,Table 12: Funds Mobilised by all Instruments,18,8083.0821157,33,13673.407762809002,0,0,170,50821.12,0,0,221,72577.609878509,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,October,10,Table 12: Funds Mobilised by all Instruments,36,23129.258353799996,30,10407.880477076,0,0,213,44146.27,0,0,279,77683.408830876,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,November,11,Table 12: Funds Mobilised by all Instruments,14,23715.031683,36,4253.8603490549995,0,0,145,50855,0,0,195,78823.89203205501,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,December,12,Table 12: Funds Mobilised by all Instruments,20,2002.0843701000003,51,23829.2893,1,228.79,126,41108.2,0,0,198,67168.36367009999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,January,1,Table 12: Funds Mobilised by all Instruments,14,2140.0799346,46,1722.2393695970002,0,0,257,27703.21,0,0,317,31565.529304197,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,February,2,Table 12: Funds Mobilised by all Instruments,21,2184.5640995000003,42,19125.347647941002,0,0,330,46467,0,0,393,67776.911747441,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,March,3,Table 12: Funds Mobilised by all Instruments,24,26858.64179285,30,7506.5116387789985,2,828.4,176,64916.08,0,0,232,100109.633431629,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,April,4,Table 12: Funds Mobilised by all Instruments,14,341.03999999999996,63,74311.87132131199,2,3214.27,272,66399.28,0,0,351,144266.461321312,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,May,5,Table 12: Funds Mobilised by all Instruments,20,2224.88536,30,3819.740043815,3,12204.6,122,10539.09,1,3145,176,31933.315403815,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,June,6,Table 12: Funds Mobilised by all Instruments,11,3151.706691,40,25746.837079493,0,0,134,23733.32,0,0,185,52631.863770493,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,July,7,Table 12: Funds Mobilised by all Instruments,13,5056.6112162,48,11361.2489,2,5629.42,221,31951.81,0,0,284,53999.09011620001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,August,8,Table 12: Funds Mobilised by all Instruments,11,1254.11,36,7126.921342,0,0,220,36916.07,0,0,267,45297.101342,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,September,9,Table 12: Funds Mobilised by all Instruments,16,2416.25812,22,3412.1806733299995,4,6284.51,204,31801.71,0,0,246,43914.65879333,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,October,10,Table 12: Funds Mobilised by all Instruments,15,525.438,29,3646.3340000000007,2,706.79,155,31893.98,0,0,201,36772.542,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
