fiscal_year,month,month_numeric,data_from_table,equity_public_issues_no_of_issues,equity_public_issues_amount_cr,equity_qip_preferential_no_of_issues,equity_qip_preferential_amount_cr,debt_public_issues_no_of_issues,debt_public_issues_amount_cr,debt_private_placement_no_of_issues,debt_private_placement_amount_cr,reits_invits_no_of_issues,reits_invits_amount_cr,total_funds_mobilized_no_of_issues,total_funds_mobilized_amount_cr,released_on,updated_on,data_source,data_url
2019-20,September,9,Table 12: Funds Mobilised by all Instruments,5,34.452799999999996,22,14891.8139215,4,495.34999999999997,123,48628.74,0,0,154,64050.35672149999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,October,10,Table 12: Funds Mobilised by all Instruments,7,970.72,19,620.647041096,3,971.1800000000001,126,47317.97,0,0,155,49880.517041096,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,November,11,Table 12: Funds Mobilised by all Instruments,4,440.22,26,40303.559040615,1,460.68,92,48731.58,0,0,123,89936.039040615,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,December,12,Table 12: Funds Mobilised by all Instruments,4,1263.98,27,40536.943999999996,3,2487.89,134,56157.62,0,0,168,100446.43400000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,January,1,Table 12: Funds Mobilised by all Instruments,7,3486.345,30,21982.2,3,2415.58,158,69296.29,0,0,198,97180.415,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,February,2,Table 12: Funds Mobilised by all Instruments,3,39.769999999999996,18,7423.01,2,497.54,171,80057.9,2,5952,196,93970.22,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,March,3,Table 12: Funds Mobilised by all Instruments,9,11313.84,21,20426.61,2,324.8,163,75408.98,0,0,195,107474.23,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,April,4,Table 12: Funds Mobilised by all Instruments,3,13.92,22,1106.4,1,102.86,70,54638.72,0,0,96,55861.9,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,May,5,Table 12: Funds Mobilised by all Instruments,0,0,11,307.02,1,297.26,107,84573.49,0,0,119,85177.77,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,June,6,Table 12: Funds Mobilised by all Instruments,2,53126.659999999996,20,12245.16,2,322.2,188,70213.5,0,0,212,135907.52,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,July,7,Table 12: Funds Mobilised by all Instruments,5,15910.78,19,2882.49,1,160,243,47961.68,0,0,268,66914.95,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,August,8,Table 12: Funds Mobilised by all Instruments,9,6107.75,25,45461.619999999995,0,0,213,58419.21,2,29715,249,139703.58,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,September,9,Table 12: Funds Mobilised by all Instruments,5,1671.594477,23,9012.83,1,149.71,189,64388.65,1,14706,219,89928.78447700001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,October,10,Table 12: Funds Mobilised by all Instruments,17,6440.6063,28,4152.25,3,2697.13,147,62330.82,0,0,195,75620.8063,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,November,11,Table 12: Funds Mobilised by all Instruments,4,7070.0352,14,7258.7899855,1,142.53,142,45544.99,1,510,162,60526.3451855,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,December,12,Table 12: Funds Mobilised by all Instruments,4,1652.4,21,9204.78738327,0,0,241,88129.94,1,3685.2,267,102672.32738327,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,January,1,Table 12: Funds Mobilised by all Instruments,3,5014.62,23,6502.849999999999,5,5600.219999999999,118,55623.7,0,0,149,72741.39,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,February,2,Table 12: Funds Mobilised by all Instruments,7,6656.5599999999995,21,7860.83,1,216.44,125,45685,1,3800,155,64218.83,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 12: Funds Mobilised by all Instruments,19,6453.745560400001,39,13672.9822,2,899.6700000000001,212,94329.89,0,0,272,115356.28776040001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,April,4,Table 12: Funds Mobilised by all Instruments,10,3288.2239759999998,33,13120.18,6,3581.0899999999997,82,32010.11,1,1283.64,132,53283.243976,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,May,5,Table 12: Funds Mobilised by all Instruments,2,26.12,41,9443.48,0,0,110,21242.19,1,7734.99,154,38446.78,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,June,6,Table 12: Funds Mobilised by all Instruments,10,9549.91866663,32,15101.957975999998,0,0,109,42051.2,0,0,151,66703.07664263,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,July,7,Table 12: Funds Mobilised by all Instruments,10,13252.373738094999,32,8285.269897,4,1808.4099999999999,129,30080.86,1,381.63,176,53808.543635095,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,August,8,Table 12: Funds Mobilised by all Instruments,15,20546.15,36,6370.110000000001,0,0,92,49848.25,0,0,143,76764.51000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 12: Funds Mobilised by all Instruments,12,3967.92,29,8670.539999999999,4,1693.6799999999998,149,92726.69,2,1060,196,108118.83,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 12: Funds Mobilised by all Instruments,18,3833.48,28,2637.12,5,1999.1100000000001,90,46844.59,0,0,141,55314.299999999996,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 12: Funds Mobilised by all Instruments,17,57360.42032630001,25,6079.17,1,50,90,47653.8,2,9834.628209999999,135,120978.0185363,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,December,12,Table 12: Funds Mobilised by all Instruments,30,18258.216425860002,35,3363.83,4,1584.46,168,73144.91,0,0,237,96351.41642586,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 12: Funds Mobilised by all Instruments,11,814.08781456,22,12929.8,2,590.5699999999999,77,25575.6069,2,949.99,114,40860.05471455999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 12: Funds Mobilised by all Instruments,13,6943.83,25,2726.91,1,104.44,138,49305,0,0,177,59080.18,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,March,3,Table 12: Funds Mobilised by all Instruments,16,1053.9013156,40,3407.5699999999997,1,177.65,171,77555,1,317,229,82511.1213156,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 12: Funds Mobilised by all Instruments,15,4957.419999999999,45,14634.36,6,1343.35,68,14365.81,1,242.5,135,35543.439999999995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 12: Funds Mobilised by all Instruments,19,32319.127780599996,40,17152.04,2,339.03000000000003,69,18039.77,0,0,130,67849.9677806,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,July,7,Table 12: Funds Mobilised by all Instruments,14,280.757437,35,7235.070000000001,1,298.04,132,68867.88,0,0,182,76681.74743700001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,August,8,Table 12: Funds Mobilised by all Instruments,8,945.05,20,6921.280000000001,1,278.98,117,44878.86,1,416,147,53440.17,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,September,9,Table 12: Funds Mobilised by all Instruments,30,2712.043344699999,34,4126.12,3,601.95,183,83087.71875350001,0,0,250,90527.83209820002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,October,10,Table 12: Funds Mobilised by all Instruments,25,1418.8554250999998,36,1490.56,4,919.5500000000001,114,34699,2,1430.14,181,39958.1054251,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,November,11,Table 12: Funds Mobilised by all Instruments,19,11729.0438145,51,1716.4,2,2000,140,76563.3383,2,3361.7,214,95370.4821145,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,December,12,Table 12: Funds Mobilised by all Instruments,21,5235.176884799999,49,10105.21,2,248.89999999999998,198,136717.276,0,0,270,152306.56288480002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,January,1,Table 12: Funds Mobilised by all Instruments,21,1121.8266096000002,39,829.0100000000001,7,1863.0299999999997,117,65666,0,0,184,69479.8666096,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,February,2,Table 12: Funds Mobilised by all Instruments,17,570.021,32,20803.92,0,0,92,74752.9141,0,0,141,96126.85509999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,March,3,Table 12: Funds Mobilised by all Instruments,37,3065.0621,39,1776.81,3,485.42999999999995,172,91959,0,0,251,97286.3021,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,April,4,Table 12: Funds Mobilised by all Instruments,14,1981.2977965999999,46,5835.2699999999995,7,2035.6499999999996,96,53425.92110000001,1,3802.59,164,67080.7288966,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,May,5,Table 12: Funds Mobilised by all Instruments,14,7273.549469999999,53,2403.82,0,0,124,83905.48,2,7462.2,193,101045.04947,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,June,6,Table 12: Funds Mobilised by all Instruments,25,1484.4890367,47,4426.59,2,539.39,127,96147.60397854,0,0,201,102598.07301524,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,July,7,Table 12: Funds Mobilised by all Instruments,28,4386.9669478,65,7017.3099999999995,4,3665.45,80,50603.937455850006,0,0,177,65673.66440365001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,August,8,Table 12: Funds Mobilised by all Instruments,31,6466.6735768,65,9231.41,2,1947.9,93,47380.88,3,5567.299999999999,194,70594.1635768,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,September,9,Table 12: Funds Mobilised by all Instruments,35,9564.909999999998,71,5093.266,6,2317.92,101,50076.21,1,403.4995321,214,67455.8055321,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,October,10,Table 12: Funds Mobilised by all Instruments,34,5287.919999999996,76,12541.15,5,2972.43,87,33258.76,2,3562,204,57622.259999999995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,November,11,Table 12: Funds Mobilised by all Instruments,30,13543.224107000004,64,14141.104000000001,1,264.46,87,71357,1,199.99,183,99505.778107,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,December,12,Table 12: Funds Mobilised by all Instruments,33,9571.779999999999,59,31800.417500000003,6,2014.4,105,108076.14,1,669.2053926,204,152131.9428926,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,January,1,Table 12: Funds Mobilised by all Instruments,25,3612.2481,69,5521.459104,5,2190,120,61180.509999999995,2,4452.8,221,76957.01720399999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,February,2,Table 12: Funds Mobilised by all Instruments,35,15642.6889287,63,5226.075,4,517,133,81276,1,880,236,103541.7639287,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,March,3,Table 12: Funds Mobilised by all Instruments,36,4276.7682764,72,10888.7221057,3,703,194,101067.24443070003,3,12024,308,128959.73481280003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,April,4,Table 12: Funds Mobilised by all Instruments,35,25370.5668319,118,19173.92271256,4,686.75,101,30507.6,0,0,258,75738.83954446,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,May,5,Table 12: Funds Mobilised by all Instruments,39,12338.348963,115,27983.183509000002,3,1206.96,123,61227,0,0,280,102755.49247200001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,June,6,Table 12: Funds Mobilised by all Instruments,38,3571.198,67,9770.0331981,3,560.25,131,64297.154500000004,2,1331,241,79529.6356981,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,July,7,Table 12: Funds Mobilised by all Instruments,42,9001.100853099999,74,18023.317096324998,2,261.63,135,94044.38921915,1,1520,254,122850.43716857501,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,August,8,Table 12: Funds Mobilised by all Instruments,43,18815.442833906003,84,13641.774259581998,4,444.99,170,79411,1,400,302,112713.207093488,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,September,9,Table 12: Funds Mobilised by all Instruments,58,16883.4016,82,34080.2501,5,1695.26,157,127322,1,6666,303,186646.9117,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,October,10,Table 12: Funds Mobilised by all Instruments,47,35653.238629039995,95,18964.75,4,669.82,159,76082.3201,1,694.22,306,132064.34872903998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,November,11,Table 12: Funds Mobilised by all Instruments,18,36265.54874220001,84,13240.581388800001,4,380.30000000000007,93,67539.67,0,0,199,117426.10013100001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,December,12,Table 12: Funds Mobilised by all Instruments,48,31118.61736622,130,40241.32116500001,4,806,150,117949.04609999999,2,5215,334,195329.98463122,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,January,1,Table 12: Funds Mobilised by all Instruments,44,3620.5072394,109,10079.59,5,684.88,139,67756.87,3,6876,300,89017.8472394,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,February,2,Table 12: Funds Mobilised by all Instruments,31,15513.1075465,48,2832.03,1,296.86,127,83326,0,0,207,101967.9975465,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,March,3,Table 12: Funds Mobilised by all Instruments,21,2038.78752778,73,11650.046638323001,4,455.33,174,117270.6489,2,8740,274,140154.813066103,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
