fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,equity_crore,debt_crore,debt_vrr_crore,debt_far,mf_aifs,hybrid_crore,total_crore
2015-16,2015,October,10,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-10-01,6650,15701,,,,0,22350
2015-16,2015,November,11,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-11-01,-7074,-3752,,,,0,-10826
2015-16,2015,December,12,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2015-12-01,-2817,-5488,,,,0,-8304
2015-16,2016,January,1,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-01-01,-11126,2313,,,,0,-8814
2015-16,2016,February,2,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-02-01,-5521,-8195,,,,0,-13716
2015-16,2016,March,3,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-03-01,21143,-1476,,,,0,19667
2016-17,2016,April,4,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-04-01,8416,6418,,,,0,14834
2016-17,2016,May,5,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-05-01,2543,-4409,,,,0,-1866
2016-17,2016,June,6,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-06-01,3713,-6220,,,,0,-2507
2016-17,2016,July,7,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-07-01,12612,6845,,,,0,19457
2016-17,2016,August,8,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-08-01,9071,-2625,,,,0,6446
2016-17,2016,September,9,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-09-01,10443,9789,,,,0,20233
2016-17,2016,October,10,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-10-01,-4306,-6000,,,,0,-10306
2016-17,2016,November,11,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-11-01,-18244,-21152,,,,0,-39396
2016-17,2016,December,12,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2016-12-01,-8176,-18935,,,,0,-27111
2016-17,2017,January,1,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-01-01,-1177,-2319,,,,0,-3496
2016-17,2017,February,2,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-02-01,9902,5960,,,,0,15862
2016-17,2017,March,3,Table 54: Foreign Portfolio Investment Instrument wise,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2017-03-01,30906,25355,,,,0,56261
